nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,coor_frappe_x,coor_frappe_y,coor_frappe_z,time_frappe,premier_rebond_x,premier_rebond_y,premier_rebond_z,time_premier_rebond,probleme_annotation
ALEXIS-LEBRUN,0,57,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,28.871550369262696,54.84508412679036,2,ALEXIS-LEBRUN,MA-LONG,5.203843307495117,-154.060449608167,100,45,55.72814865112305,-85.21255340576172,2,48,
MA-LONG,58,72,garcon,coup_droit,1,att/att,MA-LONG,,defensif,g3,,poussette,59.717942810058595,-105.23505562146505,2,MA-LONG,ALEXIS-LEBRUN,-18.37574710845947,101.04251708984376,100,62,,,,,
ALEXIS-LEBRUN,73,82,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,d2,,topspin,42.78491325378418,81.82420603434245,2,ALEXIS-LEBRUN,MA-LONG,19.11669158935547,-159.2676673412323,100,76,,,,,
MA-LONG,83,91,garcon,coup_droit,1,att/att,serveur_point_contre,,intermediaire,d3,pt_gagne,topspin,-59.694903469085695,-127.74793758392335,2,MA-LONG,ALEXIS-LEBRUN,-14.326146697998047,229.94120610555012,100,86,,,,,
ALEXIS-LEBRUN,322,339,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,m2,,,-13.827532958984374,65.14687678019206,2,ALEXIS-LEBRUN,MA-LONG,-9.465325927734375,-178.93352502187093,100,325,13.328049468994141,-71.05814094543457,2,329,
MA-LONG,340,353,garcon,coup_droit,1,att/att,MA-LONG,,defensif,m2,,poussette,1.2689159393310547,-90.30916760762533,2,MA-LONG,ALEXIS-LEBRUN,-44.02908477783203,97.74756075541178,100,341,,,,,
ALEXIS-LEBRUN,354,364,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,offensif,d3,,topspin,47.37471237182617,92.52886403401693,2,ALEXIS-LEBRUN,MA-LONG,-57.34247531890869,-156.10150039990742,100,360,,,,,
MA-LONG,365,381,garcon,coup_droit,1,att/att,serveur_point_pour,,intermediaire,,filet,topspin,,,,MA-LONG,ALEXIS-LEBRUN,33.62426834106445,236.19720357259115,100,366,,,,,
MA-LONG,763,783,garcon,coup_droit,1,att/att,MA-LONG,lat_droit,,m2,,,-0.7454345703125,-60.27464669545491,2,MA-LONG,ALEXIS-LEBRUN,-95.34067783355712,184.26649119059246,100,770,-38.884971618652344,91.17696736653646,2,774,
ALEXIS-LEBRUN,784,795,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,intermediaire,g3,,flip,-41.48458480834961,91.43015619913737,2,ALEXIS-LEBRUN,MA-LONG,-3.5504901885986326,-92.07839730580648,100,786,,,,,
MA-LONG,796,809,garcon,coup_droit,1,att/att,MA-LONG,,intermediaire,g2,,topspin,33.88582420349121,-75.56730270385742,2,MA-LONG,ALEXIS-LEBRUN,-53.41264505386353,209.4372309366862,100,802,,,,,
ALEXIS-LEBRUN,810,817,garcon,revers,1,att/att,serveur_point_contre,,offensif,d3,pt_gagne,topspin,34.462063217163085,130.67123730977377,2,ALEXIS-LEBRUN,MA-LONG,41.38636093139648,-175.4087450345357,100,811,,,,,
MA-LONG,1209,1228,garcon,coup_droit,1,att/att,MA-LONG,lat_droit,,m2,,,24.89193229675293,-70.46601111094157,2,MA-LONG,ALEXIS-LEBRUN,-109.94993209838867,180.31483612060546,100,1216,-51.923247241973876,100.08799832661947,2,1219,
ALEXIS-LEBRUN,1229,1247,garcon,revers,1,att/att,serveur_point_pour,,defensif,,filet,poussette,,,,ALEXIS-LEBRUN,MA-LONG,24.5138298034668,-98.51657784779867,100,1230,,,,,
ALEXIS-LEBRUN,1483,1501,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,g2,,,-47.00476016998291,66.13879725138347,2,ALEXIS-LEBRUN,MA-LONG,16.752462005615236,-163.79362023671467,100,1487,29.52321853637695,-64.64072993596395,2,1491,
MA-LONG,1502,1515,garcon,revers,1,att/att,MA-LONG,,defensif,d2,,poussette,-53.881116485595705,-80.53213990529379,2,MA-LONG,ALEXIS-LEBRUN,-93.26913394927979,99.64196510314942,100,1504,,,,,
ALEXIS-LEBRUN,1516,1527,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,offensif,g3,,topspin,-59.621800899505615,131.71517524719238,2,ALEXIS-LEBRUN,MA-LONG,-115.84212894439698,-153.83231573899587,100,1522,,,,,
MA-LONG,1528,1537,garcon,revers,1,att/att,MA-LONG,,intermediaire,m3,,bloc,-6.093025970458984,-102.34431471824647,2,MA-LONG,ALEXIS-LEBRUN,-106.70698223114013,213.6945452372233,100,1529,,,,,
ALEXIS-LEBRUN,1538,1546,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,intermediaire,m2,,topspin,19.902910232543945,74.01742261250814,2,ALEXIS-LEBRUN,MA-LONG,-27.046385192871092,-207.791446908315,100,1540,,,,,
MA-LONG,1547,1557,garcon,coup_droit,1,att/att,MA-LONG,,intermediaire,d2,,topspin,-72.49730421304703,-61.64324086507161,2,MA-LONG,ALEXIS-LEBRUN,-33.955679702758786,296.98705139160154,100,1551,,,,,
ALEXIS-LEBRUN,1558,1569,garcon,coup_droit,1,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,ALEXIS-LEBRUN,MA-LONG,-149.6053581237793,-232.33393115997313,100,1562,,,,,
ALEXIS-LEBRUN,1843,1866,garcon,revers,1,att/att,ALEXIS-LEBRUN,lat_gauche,,d2,,,28.756685256958008,46.37196846008301,2,ALEXIS-LEBRUN,MA-LONG,-79.13377120494843,-175.62552947998046,100,1852,-13.141458892822266,-81.1334459622701,2,1856,
MA-LONG,1867,1881,garcon,coup_droit,1,att/att,MA-LONG,,defensif,d2,,poussette,-35.58564014434815,-72.07867886225382,2,MA-LONG,ALEXIS-LEBRUN,15.420329666137695,88.7606637318929,100,1871,,,,,
ALEXIS-LEBRUN,1882,1897,garcon,revers,1,att/att,ALEXIS-LEBRUN,,defensif,m2,,poussette,14.988838958740235,55.8010139465332,2,ALEXIS-LEBRUN,MA-LONG,-95.27643404006957,-112.53852084477742,100,1886,,,,,
MA-LONG,1898,1907,garcon,coup_droit,1,att/att,MA-LONG,,offensif,d2,,topspin,-53.799329090118405,-72.98688100179037,2,MA-LONG,ALEXIS-LEBRUN,-10.837553787231446,107.5956029256185,100,1904,,,,,
ALEXIS-LEBRUN,1908,1921,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,intermediaire,m2,,bloc,-6.362163162231445,71.89792861938477,2,ALEXIS-LEBRUN,MA-LONG,-198.01465377807617,-264.39369271596274,100,1911,,,,,
