nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,coor_frappe_x,coor_frappe_y,coor_frappe_z,time_frappe,premier_rebond_x,premier_rebond_y,premier_rebond_z,time_premier_rebond,probleme_annotation,num_coup,winner,premier_topspin,serveur,relanceur,pos_balle_x_prece,pos_balle_y_prece,pos_balle_z_prece,pos_joueur_0_x,pos_joueur_0_y,pos_joueur_0_z,pos_joueur_1_x,pos_joueur_1_y,pos_joueur_1_z,pos_joueur_2_x,pos_joueur_2_y,pos_joueur_2_z,pos_joueur_3_x,pos_joueur_3_y,pos_joueur_3_z,dist_equipe_1_x,dist_equipe_1_y,dist_equipe_2_x,dist_equipe_2_y,dist_eucl_equipe_1,dist_eucl_equipe_2,num_point,service_lateralite,service_zone,remise_lateralite,remise_effet_coup,remise_zone,faute_du_point,faute_lateralite,nb_coup,valeur_derniere_zone,pos_joueur_0_debut_x,pos_joueur_0_debut_y,pos_joueur_0_debut_z,pos_joueur_1_debut_x,pos_joueur_1_debut_y,pos_joueur_1_debut_z,pos_joueur_0_frappe_x,pos_joueur_0_frappe_y,pos_joueur_0_frappe_z,pos_joueur_1_frappe_x,pos_joueur_1_frappe_y,pos_joueur_1_frappe_z,pos_joueur_0_fin_x,pos_joueur_0_fin_y,pos_joueur_0_fin_z,pos_joueur_1_fin_x,pos_joueur_1_fin_y,pos_joueur_1_fin_z,cote_jA,cote_jB,derniere_zone
ALEXIS-LEBRUN,0,57,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,28.871550369262696,54.84508412679036,2,ALEXIS-LEBRUN,MA-LONG,5.203843307495117,-154.060449608167,100,45,55.72814865112305,-85.21255340576172,2,48,,1,MA-LONG,ALEXIS-LEBRUN,ALEXIS-LEBRUN,MA-LONG,,,,-100.416015625,191.75067138671875,h5,72.07794189453125,-122.94302368164062,g4,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,coup_droit,d2,coup_droit,poussette,g3,pt_gagne,coup_droit,4,d3,-100.416015625,191.75067138671875,h5,72.07794189453125,-122.94302368164062,g4,-128.3775634765625,174.4732666015625,i4,119.33868408203125,-134.9542236328125,h3,-96.7955322265625,144.5960693359375,h4,55.56488037109375,-196.2103271484375,g5,haut,bas,0
MA-LONG,58,72,garcon,coup_droit,1,att/att,MA-LONG,,defensif,g3,,poussette,59.717942810058595,-105.23505562146505,2,MA-LONG,ALEXIS-LEBRUN,-18.37574710845947,101.04251708984376,100,62,,,,,,2,MA-LONG,ALEXIS-LEBRUN,ALEXIS-LEBRUN,MA-LONG,28.871550369262696,54.84508412679036,2,-96.7955322265625,144.5960693359375,h4,58.36126708984375,-199.03546142578125,g5,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,coup_droit,d2,coup_droit,poussette,g3,pt_gagne,coup_droit,4,d3,-96.7955322265625,144.5960693359375,h4,58.36126708984375,-199.03546142578125,g5,-61.182861328125,152.84637451171875,g4,31.97821044921875,-219.380615234375,g5,-71.980712890625,181.95440673828125,g4,73.31341552734375,-223.09423828125,g5,haut,bas,0
ALEXIS-LEBRUN,73,82,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,d2,,topspin,42.78491325378418,81.82420603434245,2,ALEXIS-LEBRUN,MA-LONG,19.11669158935547,-159.2676673412323,100,76,,,,,,3,MA-LONG,ALEXIS-LEBRUN,ALEXIS-LEBRUN,MA-LONG,59.717942810058595,-105.23505562146505,2,-68.2454833984375,187.5777587890625,g5,76.073486328125,-221.22903442382812,h5,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,coup_droit,d2,coup_droit,poussette,g3,pt_gagne,coup_droit,4,d3,-68.2454833984375,187.5777587890625,g5,76.073486328125,-221.22903442382812,h5,-75.537353515625,206.27984619140625,g5,78.85931396484375,-216.77560424804688,h5,-49.8184814453125,223.73028564453125,g5,34.71240234375,-237.10693359375,g6,haut,bas,0
MA-LONG,83,91,garcon,coup_droit,1,att/att,serveur_point_contre,,intermediaire,d3,pt_gagne,topspin,-59.694903469085695,-127.74793758392335,2,MA-LONG,ALEXIS-LEBRUN,-14.326146697998047,229.94120610555012,100,86,,,,,,4,MA-LONG,ALEXIS-LEBRUN,ALEXIS-LEBRUN,MA-LONG,42.78491325378418,81.82420603434245,2,-49.75579833984375,231.47772216796875,g6,34.6416015625,-242.5226287841797,g6,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,coup_droit,d2,coup_droit,poussette,g3,pt_gagne,coup_droit,4,d3,-49.75579833984375,231.47772216796875,g6,34.6416015625,-242.5226287841797,g6,-39.00714111328125,244.48785400390625,g6,31.63623046875,-245.88014221191406,g6,-96.3876953125,218.406494140625,h5,100.875732421875,-168.52871704101562,h4,haut,bas,1
ALEXIS-LEBRUN,322,339,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,m2,,,-13.827532958984374,65.14687678019206,2,ALEXIS-LEBRUN,MA-LONG,-9.465325927734375,-178.93352502187093,100,325,13.328049468994141,-71.05814094543457,2,329,,1,ALEXIS-LEBRUN,ALEXIS-LEBRUN,ALEXIS-LEBRUN,MA-LONG,,,,-96.3876953125,218.406494140625,h5,100.875732421875,-168.52871704101562,h4,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,coup_droit,m2,coup_droit,poussette,m2,filet,coup_droit,4,d3,-96.3876953125,218.406494140625,h5,100.875732421875,-168.52871704101562,h4,-79.2396240234375,213.355224609375,h5,92.98974609375,-169.75253295898438,h4,-77.4476318359375,200.313720703125,h5,37.7113037109375,-233.10557556152344,g6,haut,bas,0
MA-LONG,340,353,garcon,coup_droit,1,att/att,MA-LONG,,defensif,m2,,poussette,1.2689159393310547,-90.30916760762533,2,MA-LONG,ALEXIS-LEBRUN,-44.02908477783203,97.74756075541178,100,341,,,,,,2,ALEXIS-LEBRUN,ALEXIS-LEBRUN,ALEXIS-LEBRUN,MA-LONG,-13.827532958984374,65.14687678019206,2,-68.16766357421875,198.55523681640625,g5,31.76763916015625,-235.69740295410156,g6,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,coup_droit,m2,coup_droit,poussette,m2,filet,coup_droit,4,d3,-68.16766357421875,198.55523681640625,g5,31.76763916015625,-235.69740295410156,g6,-64.53167724609375,193.1688232421875,g5,31.78515625,-234.3388214111328,g6,-50.02484130859375,198.21044921875,g5,73.6322021484375,-202.18051147460938,g5,haut,bas,0
ALEXIS-LEBRUN,354,364,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,offensif,d3,,topspin,47.37471237182617,92.52886403401693,2,ALEXIS-LEBRUN,MA-LONG,-57.34247531890869,-156.10150039990742,100,360,,,,,,3,ALEXIS-LEBRUN,ALEXIS-LEBRUN,ALEXIS-LEBRUN,MA-LONG,1.2689159393310547,-90.30916760762533,2,-53.5416259765625,206.64892578125,g5,73.6322021484375,-202.18051147460938,g5,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,coup_droit,m2,coup_droit,poussette,m2,filet,coup_droit,4,d3,-53.5416259765625,206.64892578125,g5,73.6322021484375,-202.18051147460938,g5,-71.5955810546875,237.9078369140625,g6,98.26123046875,-168.9344482421875,h4,-39.047119140625,239.8753662109375,g6,119.04833984375,-151.30718994140625,h4,haut,bas,1
MA-LONG,365,381,garcon,coup_droit,1,att/att,serveur_point_pour,,intermediaire,,filet,topspin,,,,MA-LONG,ALEXIS-LEBRUN,33.62426834106445,236.19720357259115,100,366,,,,,,4,ALEXIS-LEBRUN,ALEXIS-LEBRUN,ALEXIS-LEBRUN,MA-LONG,47.37471237182617,92.52886403401693,2,-35.524169921875,242.130615234375,g6,121.6226806640625,-147.19473266601562,h4,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,coup_droit,m2,coup_droit,poussette,m2,filet,coup_droit,4,d3,-35.524169921875,242.130615234375,g6,121.6226806640625,-147.19473266601562,h4,-14.96966552734375,240.328369140625,m6,119.093017578125,-148.79330444335938,h4,-116.431396484375,139.193359375,h4,66.53375244140625,-215.30929565429688,g5,haut,bas,0
MA-LONG,763,783,garcon,coup_droit,1,att/att,MA-LONG,lat_droit,,m2,,,-0.7454345703125,-60.27464669545491,2,MA-LONG,ALEXIS-LEBRUN,-95.34067783355712,184.26649119059246,100,770,-38.884971618652344,91.17696736653646,2,774,,1,ALEXIS-LEBRUN,MA-LONG,MA-LONG,ALEXIS-LEBRUN,,,,-116.431396484375,139.193359375,h4,66.53375244140625,-215.30929565429688,g5,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2,coup_droit,m2,coup_droit,flip,g3,pt_gagne,revers,4,d3,-116.431396484375,139.193359375,h4,66.53375244140625,-215.30929565429688,g5,-89.13525390625,143.53338623046875,h4,69.411376953125,-208.19979858398438,g5,-39.4261474609375,196.17291259765625,g5,71.06292724609375,-190.21475219726562,g5,haut,bas,0
ALEXIS-LEBRUN,784,795,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,intermediaire,g3,,flip,-41.48458480834961,91.43015619913737,2,ALEXIS-LEBRUN,MA-LONG,-3.5504901885986326,-92.07839730580648,100,786,,,,,,2,ALEXIS-LEBRUN,MA-LONG,MA-LONG,ALEXIS-LEBRUN,-0.7454345703125,-60.27464669545491,2,-35.924072265625,197.0272216796875,g5,69.73699951171875,-186.50479125976562,g5,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2,coup_droit,m2,coup_droit,flip,g3,pt_gagne,revers,4,d3,-35.924072265625,197.0272216796875,g5,69.73699951171875,-186.50479125976562,g5,-42.858642578125,206.0601806640625,g5,67.03314208984375,-181.69119262695312,g4,-50.124755859375,185.863037109375,g5,61.22772216796875,-195.87799072265625,g5,haut,bas,0
