frame,numero_pers,joint,x,y,tracking,est_joueur
0,0,0,409.935,74.9342,0,0
0,0,1,409.925,86.6782,0,0
0,0,2,398.121,86.6325,0,0
0,0,3,392.327,102.326,0,0
0,0,4,402.153,98.4196,0,0
0,0,5,419.739,86.7443,0,0
0,0,6,423.699,102.433,0,0
0,0,7,413.784,100.381,0,0
0,0,8,407.988,116.156,0,0
0,0,9,398.292,116.143,0,0
0,0,10,392.33,131.738,0,0
0,0,11,394.294,153.284,0,0
0,0,12,415.736,116.179,0,0
0,0,13,413.778,133.675,0,0
0,0,14,411.886,159.177,0,0
0,0,15,404.121,71.1314,0,0
0,0,16,413.75,72.9668,0,0
0,0,17,400.279,71.1361,0,0
0,0,18,415.731,74.9215,0,0
0,0,19,413.814,163.098,0,0
0,0,20,431.454,120.136,0,0
0,0,21,411.871,161.106,0,0
0,0,22,394.29,163.039,0,0
0,0,23,392.338,161.131,0,0
0,0,24,396.196,155.308,0,0
0,1,0,257.217,82.7813,1,0
0,1,1,259.146,88.6364,1,0
0,1,2,247.33,88.7313,1,0
0,1,3,245.449,108.239,1,0
0,1,4,259.053,116.156,1,0
0,1,5,272.852,86.7932,1,0
0,1,6,274.883,110.192,1,0
0,1,7,268.928,116.072,1,0
0,1,8,261.154,118.009,1,0
0,1,9,257.122,118.041,1,0
0,1,10,247.367,129.823,1,0
0,1,11,251.298,147.452,1,0
0,1,12,272.829,118.002,1,0
0,1,13,272.724,123.914,1,0
0,1,14,272.73,147.321,1,0
0,1,15,257.098,80.7883,1,0
0,1,16,259.086,78.8814,1,0
0,1,17,255.201,82.6973,1,0
0,1,18,263.056,78.8329,1,0
0,1,19,0,0,1,0
0,1,20,0,0,1,0
0,1,21,0,0,1,0
0,1,22,249.33,149.336,1,0
0,1,23,245.472,149.408,1,0
0,1,24,253.23,149.422,1,0
0,2,0,878.16,69.0371,2,0
0,2,1,872.315,84.6601,2,0
0,2,2,858.6,84.6651,2,0
0,2,3,854.724,102.477,2,0
0,2,4,870.329,118.014,2,0
0,2,5,886.078,84.6762,2,0
0,2,6,887.972,102.463,2,0
0,2,7,884.054,118.094,2,0
0,2,8,872.321,116.094,2,0
0,2,9,868.349,116.105,2,0
0,2,10,866.379,131.677,2,0
0,2,11,866.441,149.383,2,0
0,2,12,884.077,116.108,2,0
0,2,13,901.642,121.971,2,0
0,2,14,0,0,2,0
0,2,15,872.308,67.0973,2,0
0,2,16,882.061,67.0932,2,0
0,2,17,868.486,68.9951,2,0
0,2,18,884.059,69.0012,2,0
0,2,19,0,0,2,0
0,2,20,0,0,2,0
0,2,21,0,0,2,0
0,2,22,868.436,153.274,2,0
0,2,23,868.438,151.395,2,0
0,2,24,864.463,153.288,2,0
0,3,0,1054.43,69.1295,3,0
0,3,1,1050.55,80.8206,3,0
0,3,2,1040.72,78.8306,3,0
0,3,3,1029.05,92.5894,3,0
0,3,4,1036.89,102.462,3,0
0,3,5,1058.53,80.8372,3,0
0,3,6,1060.45,98.4696,3,0
0,3,7,1056.5,106.347,3,0
0,3,8,1046.64,112.136,3,0
0,3,9,1040.8,112.152,3,0
0,3,10,1038.84,127.848,3,0
0,3,11,1040.7,149.375,3,0
0,3,12,1056.4,112.177,3,0
0,3,13,1058.48,122.011,3,0
0,3,14,1058.47,149.368,3,0
0,3,15,1050.56,68.9981,3,0
0,3,16,1056.38,69.0165,3,0
0,3,17,1044.72,69.0105,3,0
0,3,18,1056.52,69.0232,3,0
0,3,19,1060.44,153.294,3,0
0,3,20,1060.44,151.339,3,0
0,3,21,1058.41,149.422,3,0
0,3,22,1040.7,151.393,3,0
0,3,23,1040.67,151.348,3,0
0,3,24,1038.87,151.343,3,0
0,4,0,836.983,70.9405,4,0
0,4,1,835.114,84.6282,4,0
0,4,2,821.43,82.7899,4,0
0,4,3,821.294,100.374,4,0
0,4,4,827.31,102.339,4,0
0,4,5,841,84.6479,4,0
0,4,6,842.918,102.315,4,0
0,4,7,835.085,102.356,4,0
0,4,8,833.126,114.084,4,0
0,4,9,823.295,114.057,4,0
0,4,10,813.518,129.756,4,0
0,4,11,809.707,151.37,4,0
0,4,12,838.943,114.128,4,0
0,4,13,839.067,129.802,4,0
0,4,14,852.68,147.451,4,0
0,4,15,835.094,69.0264,4,0
0,4,16,837.107,69.0633,4,0
0,4,17,827.251,69.0805,4,0
0,4,18,839.031,69.1137,4,0
0,4,19,850.779,147.39,4,0
0,4,20,850.762,147.395,4,0
0,4,21,846.843,149.401,4,0
0,4,22,809.687,161.114,4,0
0,4,23,807.687,159.182,4,0
0,4,24,815.497,153.292,4,0
0,5,0,980.059,69.0802,5,0
0,5,1,980.001,82.7604,5,0
0,5,2,964.408,82.7507,5,0
0,5,3,962.52,100.36,5,0
0,5,4,974.194,114.113,5,0
0,5,5,993.821,82.7872,5,0
0,5,6,995.709,100.434,5,0
0,5,7,991.767,114.083,5,0
0,5,8,979.984,116.048,5,0
0,5,9,970.292,116.026,5,0
0,5,10,964.381,125.899,5,0
0,5,11,0,0,5,0
0,5,12,983.998,116.081,5,0
0,5,13,993.833,131.677,5,0
0,5,14,991.784,147.472,5,0
0,5,15,978.214,67.132,5,0
0,5,16,980.148,68.9686,5,0
0,5,17,976.178,68.976,5,0
0,5,18,983.984,69.0601,5,0
0,5,19,0,0,5,0
0,5,20,0,0,5,0
0,5,21,1011.39,147.352,5,0
0,5,22,0,0,5,0
0,5,23,0,0,5,0
0,5,24,0,0,5,0
0,6,0,198.408,73.064,6,0
0,6,1,198.37,86.7127,6,0
0,6,2,190.557,86.7898,6,0
0,6,3,188.578,106.277,6,0
0,6,4,196.349,118.039,6,0
0,6,5,212.007,86.6505,6,0
0,6,6,214.113,102.377,6,0
0,6,7,210.059,86.7094,6,0
0,6,8,202.293,116.171,6,0
0,6,9,194.536,117.978,6,0
0,6,10,186.59,129.768,6,0
0,6,11,167.06,149.357,6,0
0,6,12,210.203,116.167,6,0
0,6,13,210.156,127.863,6,0
0,6,14,210.18,147.421,6,0
0,6,15,196.469,71.0926,6,0
