frame,numero_pers,max_x,max_y,min_x,min_y,est_joueur
0,0,431.454,163.098,392.327,71.1314,0
0,1,274.883,149.422,245.449,78.8329,0
0,2,901.642,153.288,854.724,67.0932,0
0,3,1060.45,153.294,1029.05,68.9981,0
0,4,852.68,161.114,807.687,69.0264,0
0,5,1011.39,147.472,962.52,67.132,0
0,6,270.885,151.339,167.06,71.0926,0
0,7,335.495,137.685,286.503,74.967,0
0,8,507.896,161.153,447.235,78.8751,0
0,9,454.989,449.151,366.774,335.579,1
0,10,664.616,263.014,617.529,143.479,0
0,11,868.404,605.901,801.785,372.779,1
0,12,170.982,149.325,147.41,69.0797,0
0,13,954.581,149.485,911.491,67.1292,0
0,14,509.92,161.147,488.303,80.8269,0
0,15,22.1486,243.503,5.33636,159.189,0
0,16,1177.94,118.127,1130.94,53.34,0
0,17,1023.17,118.027,1009.48,82.7347,0
0,18,1205.36,118.133,1177.89,55.2819,0
1,0,431.482,163.112,390.371,71.1332,0
1,2,901.677,151.377,854.779,67.0394,0
1,1,335.563,149.407,245.423,76.9428,0
1,3,1062.34,149.372,1034.89,68.9972,0
1,8,480.532,163.095,447.199,74.9714,0
1,5,995.685,129.814,962.506,67.1455,0
1,7,337.426,139.603,288.372,73.0717,0
1,4,948.717,161.112,807.71,69.0397,0
1,6,268.891,151.334,167.025,71.1234,0
1,9,454.98,449.192,364.902,335.538,1
1,10,664.595,263.034,617.594,143.475,0
1,12,169.013,149.361,147.362,69.0978,0
1,13,950.694,149.373,913.439,68.9899,0
1,11,868.474,605.868,803.711,372.767,1
1,14,509.873,155.268,488.279,80.7805,0
1,16,1183.77,118.079,1132.82,47.528,0
1,15,22.1442,243.508,4.39553,159.168,0
1,17,1025.02,118.014,1009.46,84.6548,0
1,18,1197.51,96.5174,1179.83,55.2983,0
2,0,423.693,163.098,388.466,71.0931,0
2,2,901.665,151.331,854.794,65.1784,0
2,10,664.598,263.004,617.655,141.592,0
2,1,337.497,149.379,245.37,76.9423,0
2,3,1064.29,147.444,1036.84,68.9939,0
2,8,478.636,165.042,447.21,74.9494,0
2,9,455.02,451.107,364.87,335.556,1
2,5,995.674,129.735,962.512,68.9627,0
2,4,856.645,157.198,807.691,69.0665,0
2,7,335.563,135.703,286.478,76.9042,0
2,12,170.967,149.426,147.362,69.0643,0
2,6,268.891,151.401,167.03,71.0584,0
2,14,509.933,155.292,488.292,78.8919,0
2,13,952.643,149.355,903.738,69.0152,0
2,11,868.479,607.825,803.736,372.763,1
2,15,22.0898,243.495,4.38885,159.196,0
2,13,1025.04,102.386,929.082,67.1349,0
2,18,1197.47,116.067,1166.23,55.3811,0
2,16,1207.29,116.033,1134.82,53.3635,0
2,17,1011.37,90.5977,1009.45,82.7474,0
3,0,423.637,163.091,388.436,71.1028,0
3,2,948.709,149.449,854.78,65.1531,0
3,1,274.722,151.322,243.535,74.9592,0
3,3,1064.32,147.479,1036.85,68.9624,0
3,7,335.546,133.806,284.552,74.9531,0
3,8,480.525,165.02,447.232,73.007,0
3,9,456.927,451.094,364.826,335.539,1
3,5,995.686,129.763,962.521,68.9756,0
3,10,664.615,263.01,617.708,143.48,0
3,4,844.861,157.221,807.723,69.0808,0
3,12,174.842,149.436,147.321,69.0636,0
3,6,270.812,151.378,165.052,71.0618,0
3,13,952.637,149.369,903.675,69.036,0
3,11,868.466,609.817,803.763,372.759,1
3,14,513.765,153.371,488.236,78.8496,0
3,15,22.0382,243.493,5.33844,163.015,0
3,17,1025.04,102.381,929.082,67.1523,0
3,16,1170.16,116.04,1136.72,53.4043,0
3,18,1205.36,116.029,1179.88,55.4756,0
4,0,421.737,163.122,388.434,71.1107,0
4,2,948.732,149.413,854.767,65.1358,0
4,1,274.731,149.369,243.54,74.9885,0
4,3,1066.27,147.512,1034.92,67.1482,0
4,7,339.42,135.73,284.53,74.9423,0
4,8,480.524,163.147,447.221,71.1458,0
4,9,457.003,449.2,364.846,335.579,1
4,5,995.691,129.775,962.512,68.9463,0
4,10,664.609,263.017,619.513,143.476,0
4,6,214.082,149.43,161.131,71.0324,0
4,4,844.873,155.299,807.735,68.9931,0
4,12,174.863,149.353,147.315,69.0715,0
4,13,1009.44,149.39,901.83,68.9883,0
4,11,870.306,609.8,803.759,372.756,1
4,14,511.851,155.269,486.307,78.8481,0
4,15,22.0301,243.473,5.33748,163.004,0
4,16,1170.12,123.943,1136.76,53.4006,0
4,18,1207.28,116.025,1179.89,55.4196,0
4,13,944.769,71.0151,921.28,68.9659,0
5,0,423.641,163.098,388.443,71.0937,0
5,2,948.758,149.422,854.765,65.1448,0
5,1,274.729,149.408,243.533,74.9913,0
5,3,1064.33,147.469,1036.87,67.131,0
5,7,317.869,121.965,286.422,74.9461,0
5,4,844.862,155.251,809.595,69.0022,0
5,9,458.887,449.197,364.831,335.565,1
5,8,480.538,163.167,447.264,72.9584,0
5,10,664.606,263.017,619.512,143.475,0
5,6,214.047,149.423,159.207,71.0305,0
5,12,174.877,149.355,147.315,69.0673,0
5,5,995.708,129.778,962.498,67.1485,0
5,13,954.568,149.4,901.804,69.0278,0
5,11,872.368,607.864,803.76,372.756,1
5,14,513.773,153.361,492.181,78.8446,0
5,15,22.0301,243.482,5.3367,163.001,0
5,16,1170.14,125.885,1136.75,53.4185,0
5,17,1025.03,102.407,1009.39,82.7315,0
5,18,1209.23,116.062,1179.87,55.4173,0
6,0,423.649,163.113,388.448,71.0945,0
6,2,948.773,149.44,854.758,65.1494,0
6,7,317.9,120.082,286.424,74.9136,0
6,1,345.283,149.42,243.542,74.9874,0
6,5,995.719,129.765,962.516,67.1226,0
6,3,1064.33,147.467,1036.85,67.1189,0
6,9,458.917,449.18,364.846,335.561,1
6,4,842.984,155.263,809.592,69.0095,0
6,10,664.612,263.019,619.509,143.476,0
6,6,214.051,147.398,184.642,71.0283,0
6,8,480.507,163.117,447.285,71.1423,0
6,12,174.857,149.384,147.315,69.0696,0
6,11,878.205,607.831,803.759,372.754,1
6,13,954.611,149.386,901.786,69.0453,0
6,14,511.842,153.365,492.154,78.8298,0
6,15,22.0341,243.481,4.39601,162.988,0
6,16,1170.08,114.159,1136.74,53.4079,0
6,18,1203.41,116.024,1162.25,55.3905,0
6,17,1023.17,92.5668,1009.43,82.7027,0
7,0,423.643,163.134,388.454,71.088,0
7,2,948.761,149.439,854.763,65.1486,0
7,1,347.222,149.392,243.533,74.9837,0
7,3,1064.33,147.426,1038.75,67.1335,0
7,5,995.719,129.765,962.501,67.1336,0
7,7,333.503,118.125,265.011,74.9256,0
7,9,458.928,449.142,364.853,335.549,1
7,10,664.597,261.132,617.711,143.476,0
7,6,214.037,147.391,188.541,71.0323,0
7,8,480.509,163.147,447.264,71.1436,0
7,11,882.109,609.776,803.768,370.833,1
7,12,174.857,149.44,147.321,69.076,0
7,4,842.972,153.302,809.606,69.0754,0
7,13,954.59,149.371,901.804,69.0425,0
7,14,509.873,159.166,490.206,76.929,0
7,15,22.023,243.481,5.3371,161.169,0
7,17,1027.12,116.149,1009.43,82.6985,0
7,16,1168.17,116.014,1134.78,53.3992,0
7,18,1201.44,116.031,1166.16,55.3503,0
8,0,421.749,163.146,388.453,71.0853,0
8,2,948.793,149.434,854.764,65.1589,0
8,1,274.766,149.383,243.563,74.9657,0
8,7,319.76,118.094,270.834,73.0587,0
8,3,1064.33,147.392,1038.76,67.141,0
8,9,458.92,449.141,364.885,335.547,1
8,6,266.955,147.459,184.642,71.0606,0
8,10,664.593,262.987,617.695,143.478,0
8,11,886.023,609.821,803.772,370.737,1
8,8,480.507,163.144,447.246,72.9563,0
8,12,174.838,149.451,147.34,69.0939,0
8,5,995.71,129.755,962.507,67.1388,0
8,4,842.958,153.283,809.634,69.0764,0
8,14,509.916,133.686,488.244,78.8297,0
8,13,956.534,149.385,901.806,69.0317,0
8,15,22.0289,243.481,5.33743,161.154,0
8,17,1027.12,116.155,1009.45,82.7027,0
8,16,1168.17,114.144,1134.8,53.3919,0
8,18,1203.39,114.153,1166.19,55.3607,0
9,0,421.731,163.144,388.459,71.0842,0
9,2,899.755,149.382,854.763,65.1623,0
9,7,315.88,118.064,278.707,74.9401,0
9,1,274.787,149.392,243.536,74.9774,0
9,3,1064.32,147.41,1038.8,67.1423,0
9,6,268.884,147.439,182.699,71.0558,0
9,9,458.93,447.285,364.886,335.551,1
9,8,480.493,163.087,447.216,71.1453,0
9,10,664.596,261.129,617.696,143.469,0
9,11,885.975,611.715,803.759,368.7,1
9,4,842.96,151.404,809.659,69.0649,0
9,12,172.916,151.317,147.335,69.092,0
9,5,995.708,129.74,962.499,67.1359,0
9,14,509.898,157.216,492.186,76.9192,0
9,13,956.52,149.407,901.802,69.0379,0
9,15,22.0323,243.483,5.33841,161.136,0
9,17,1025.16,102.333,1009.45,80.7591,0
9,16,1168.18,114.153,1134.8,53.3763,0
9,18,1201.45,114.161,1166.19,55.3588,0
10,0,423.633,163.141,388.458,71.0864,0
10,2,899.78,149.421,854.757,65.1422,0
10,1,274.815,149.408,243.536,74.9695,0
10,3,1064.31,147.386,1038.76,67.1397,0
10,7,310.036,123.901,284.525,73.0721,0
10,9,458.894,451.07,362.911,335.539,1
10,4,948.78,151.374,811.557,69.0683,0
10,8,480.489,163.09,447.189,72.9515,0
10,10,664.595,261.13,617.676,143.487,0
10,6,268.935,147.476,180.761,71.0542,0
10,12,172.89,151.331,147.345,69.1048,0
10,5,995.687,129.766,962.488,67.1389,0
10,14,513.774,153.375,490.211,76.9238,0
10,13,954.593,149.432,901.782,70.9915,0
10,11,887.986,609.785,805.599,366.928,1
10,15,22.0439,243.481,4.38402,161.101,0
10,17,1027.1,117.972,1009.46,82.7795,0
10,18,1197.49,116.047,1138.8,55.3319,0
10,16,1203.4,114.155,1134.83,53.3848,0
11,0,423.64,165.016,388.455,71.0913,0
11,2,899.783,149.414,854.753,65.146,0
11,1,274.85,149.375,243.527,74.9925,0
11,3,1064.31,147.377,1038.76,67.1396,0
11,7,311.975,145.506,272.752,73.0451,0
11,9,458.89,449.214,362.903,335.523,1
11,4,948.778,151.398,809.676,69.0629,0
11,8,480.48,163.064,447.145,71.1287,0
11,10,664.592,261.132,617.635,143.482,0
11,6,268.888,151.331,168.973,71.0623,0
11,12,170.986,149.37,147.338,69.1182,0
11,5,995.694,129.793,962.486,67.1431,0
11,11,891.931,609.779,805.632,368.752,1
11,13,954.598,149.435,901.814,69.034,0
11,14,513.788,153.295,488.277,76.8689,0
11,15,22.0524,243.469,5.33807,161.134,0
11,17,1027.1,117.976,1009.46,82.7777,0
11,18,1205.33,116.082,1166.18,55.3059,0
11,16,1168.2,114.148,1134.84,53.383,0
12,0,423.637,163.153,388.454,71.0932,0
12,2,899.799,149.463,854.756,65.1456,0
12,1,274.803,149.348,243.571,74.9877,0
12,3,1068.18,147.374,1038.76,67.1413,0
12,7,315.867,123.916,284.508,73.0667,0
12,8,478.646,163.072,447.163,72.964,0
12,9,458.966,449.199,362.932,335.53,1
12,4,948.759,153.31,809.667,69.0615,0
12,10,664.592,261.133,617.62,143.481,0
12,6,270.832,151.33,167.021,71.0412,0
12,12,172.917,149.367,147.343,69.101,0
12,5,995.682,129.782,962.483,67.1441,0
12,13,954.588,149.415,901.803,69.0859,0
12,11,897.807,613.726,805.666,366.874,1
12,14,509.848,153.316,490.201,76.896,0
12,15,22.0503,243.48,4.38808,161.116,0
12,17,1027.1,117.979,1009.46,82.7762,0
12,18,1203.41,116.09,1166.19,55.2977,0
12,16,1170.08,114.126,1136.73,53.3675,0
13,0,423.637,163.138,388.452,71.0885,0
13,2,899.797,149.435,854.758,65.1682,0
13,1,274.798,149.332,243.538,76.8764,0
13,3,1064.3,147.359,1038.76,67.1459,0
13,7,313.949,123.9,282.59,73.0359,0
13,9,460.776,449.178,362.902,335.5,1
13,8,478.648,163.154,447.123,71.1339,0
13,10,664.586,261.127,617.607,143.477,0
13,4,948.734,153.34,809.635,69.0633,0
13,6,270.83,147.388,182.757,71.0627,0
13,12,170.956,151.338,147.333,69.1079,0
13,5,995.674,129.76,962.485,67.1462,0
13,11,897.765,615.621,805.739,362.963,1
13,13,952.635,149.403,901.804,69.1091,0
13,14,521.606,161.176,490.181,76.9021,0
13,15,22.0299,243.507,4.38708,161.087,0
13,17,1027.1,117.972,1009.45,82.7543,0
13,18,1209.24,116.101,1166.2,55.2845,0
13,16,1168.17,114.136,1136.75,53.369,0
14,0,423.648,163.134,388.446,71.0861,0
14,2,899.783,149.407,854.755,65.1569,0
14,7,317.789,147.409,266.957,73.0452,0
14,1,274.784,147.511,243.517,76.8857,0
14,3,1066.28,147.357,1038.77,67.1474,0
14,9,460.796,449.186,361.001,335.516,1
14,10,664.585,261.129,617.605,143.484,0
14,4,948.681,153.307,809.652,69.0716,0
14,8,478.633,163.125,447.151,71.1175,0
14,13,950.698,149.365,901.803,71.0094,0
14,11,897.755,611.763,807.65,368.88,1
14,12,172.93,151.326,147.319,69.084,0
14,5,995.67,129.744,962.479,68.9459,0
14,6,223.829,147.398,186.601,71.1118,0
14,14,509.89,129.819,486.346,76.8834,0
14,15,22.0361,243.492,5.3321,161.098,0
14,17,1027.1,117.961,929.08,76.9253,0
14,18,1211.19,116.114,1166.19,53.483,0
14,16,1168.15,114.131,1136.74,53.3631,0
15,0,423.631,163.124,388.451,71.0846,0
15,2,899.797,149.417,854.764,65.1552,0
15,11,901.65,607.866,807.731,368.851,1
15,3,1064.29,147.357,1038.79,67.153,0
15,1,274.817,149.322,243.567,76.8724,0
15,7,315.86,145.462,270.834,73.0412,0
15,9,460.817,449.159,360.999,335.528,1
15,4,948.672,153.309,809.652,69.0673,0
15,10,664.586,261.12,617.612,143.484,0
15,13,950.695,149.354,901.815,69.0771,0
15,8,480.46,163.097,447.135,72.9726,0
15,12,176.765,149.48,147.321,69.0742,0
15,6,264.996,147.434,188.564,71.1233,0
15,5,995.659,129.742,962.469,68.95,0
15,14,511.834,153.361,488.263,74.9754,0
15,15,22.0333,243.477,5.33248,159.18,0
15,17,1027.08,117.982,929.097,76.9314,0
15,3,1013.38,102.334,1009.46,82.6935,0
15,18,1211.27,116.162,1166.16,55.2703,0
15,16,1168.18,116.02,1134.85,53.3809,0
16,0,423.674,163.142,388.453,71.0829,0
16,2,901.616,149.42,854.766,65.1333,0
16,11,901.797,613.679,809.58,368.82,1
16,1,274.816,149.335,243.559,75.0037,0
16,8,478.643,163.16,447.155,72.9819,0
16,3,1064.29,147.359,1038.83,68.9503,0
16,9,460.798,449.155,361.01,335.529,1
16,7,315.87,145.499,268.92,73.0132,0
16,4,948.696,153.286,809.674,69.0799,0
16,10,664.585,261.125,617.642,143.483,0
16,12,174.873,149.434,147.315,69.0838,0
16,13,952.62,149.347,905.611,69.0367,0
16,6,264.965,149.47,172.901,71.1274,0
16,5,995.663,129.741,962.48,68.9567,0
16,14,513.792,155.248,486.355,76.9182,0
16,17,1027.06,117.988,929.077,68.9971,0
16,15,22.0362,243.481,5.33295,159.181,0
16,17,1011.44,102.414,1009.43,80.8106,0
16,18,1213.1,118.003,1166.17,55.2707,0
16,16,1168.17,114.157,1136.77,53.3783,0
17,0,423.673,163.161,388.447,71.0804,0
17,2,901.643,149.433,854.775,65.1261,0
17,11,903.651,615.648,807.702,368.787,1
17,8,519.629,163.152,447.124,72.9903,0
17,1,274.832,147.496,210.018,76.8762,0
17,3,1064.29,147.352,1038.83,68.9492,0
17,9,460.812,449.151,361.008,335.566,1
17,7,313.925,122.018,284.523,73.0048,0
17,10,664.586,261.125,617.634,143.482,0
17,6,263.06,149.358,174.845,72.9595,0
17,12,176.771,149.409,147.323,69.0651,0
17,4,854.694,151.403,809.673,69.0713,0
17,5,995.664,129.731,907.582,68.9621,0
17,13,950.727,147.493,919.327,69.0326,0
17,14,513.799,157.216,488.279,78.8694,0
17,5,1011.44,112.136,962.495,68.9867,0
17,17,1058.44,139.623,929.093,68.9736,0
17,15,22.0356,243.495,5.33391,161.056,0
17,3,1011.4,102.385,1009.44,80.788,0
17,18,1211.22,118.003,1166.14,55.2757,0
