frame,numero_pers,distance_x,distance_y,distance_z,zone_jeu
0,0,-100.416015625,191.75067138671875,74.0,h5
0,1,72.07794189453125,-122.94302368164062,74.0,g4
0,4,63.78512813568117,-127.22984466552738,14.00743999999999,d2
1,0,-100.416015625,191.75067138671875,74.0,h5
1,1,72.0579833984375,-124.26699829101562,74.0,g4
1,4,63.78512813568117,-127.22984466552738,14.00743999999999,d2
2,0,-100.416015625,191.75067138671875,74.0,h5
2,1,72.01800537109375,-126.914306640625,74.0,g4
2,4,63.78512813568117,-127.22984466552738,14.00743999999999,d2
3,0,-100.407470703125,193.3624267578125,74.0,h5
3,1,71.998046875,-128.2376708984375,74.0,g4
3,4,63.78512813568117,-127.22984466552738,14.00743999999999,d2
4,0,-100.407470703125,193.3624267578125,74.0,h5
4,1,74.78411865234375,-126.6124267578125,74.0,g4
4,4,63.78512813568117,-127.22984466552738,14.00743999999999,d2
5,0,-100.407470703125,193.3624267578125,74.0,h5
5,1,74.78411865234375,-126.6124267578125,74.0,g4
5,4,63.78512813568117,-127.22984466552738,14.00743999999999,d2
6,0,-100.407470703125,193.3624267578125,74.0,h5
6,1,74.78411865234375,-126.6124267578125,74.0,g4
6,4,63.78512813568117,-127.22984466552738,14.00743999999999,d2
7,0,-100.407470703125,193.3624267578125,74.0,h5
7,1,74.78411865234375,-126.6124267578125,74.0,g4
7,4,63.78512813568117,-127.22984466552738,14.00743999999999,d2
8,0,-100.407470703125,193.3624267578125,74.0,h5
8,1,72.01800537109375,-126.914306640625,74.0,g4
8,4,63.78512813568117,-127.22984466552738,14.00743999999999,d2
9,0,-100.416015625,191.75067138671875,74.0,h5
9,1,74.80426025390625,-125.29248046875,74.0,g4
9,4,63.78512813568117,-127.22984466552738,14.00743999999999,d2
10,0,-96.538818359375,191.05859375,74.0,h5
10,1,74.8243408203125,-123.97238159179688,74.0,g4
10,4,63.78512813568117,-127.22984466552738,14.00743999999999,d2
11,0,-100.416015625,191.75067138671875,74.0,h5
11,1,74.8243408203125,-123.97238159179688,74.0,g4
11,4,63.78512813568117,-127.22984466552738,14.00743999999999,d2
12,0,-100.416015625,191.75067138671875,74.0,h5
12,1,77.57550048828125,-123.67938232421876,74.0,h3
12,4,63.78512813568117,-127.22984466552738,14.00743999999999,d2
13,0,-96.538818359375,191.05859375,74.0,h5
13,1,74.8243408203125,-123.97238159179688,74.0,g4
13,4,63.78512813568117,-127.22984466552738,14.00743999999999,d2
14,0,-96.538818359375,191.05859375,74.0,h5
14,1,74.8243408203125,-123.97238159179688,74.0,g4
14,4,63.78512813568117,-127.22984466552738,14.00743999999999,d2
15,0,-96.54766845703124,189.45245361328125,74.0,h5
15,1,77.59576416015625,-122.3626708984375,74.0,h3
