frame,debut,fin,num_coup,num_point,coor_frappe_x,coor_frappe_y,lateralite,effet_coup,zone_modele,zone_modele_r,zone_modele_cd
62,62,76,3,0,19.11669158935547,-159.2676673412323,revers,topspin,"(0,255,206)",255,206
63,62,76,3,0,19.11669158935547,-159.2676673412323,revers,topspin,"(0,255,192)",255,192
64,62,76,3,0,19.11669158935547,-159.2676673412323,revers,topspin,"(0,255,192)",255,192
65,62,76,3,0,19.11669158935547,-159.2676673412323,revers,topspin,"(0,255,208)",255,208
66,62,76,3,0,19.11669158935547,-159.2676673412323,revers,topspin,"(0,255,223)",255,223
67,62,76,3,0,19.11669158935547,-159.2676673412323,revers,topspin,"(0,245,250)",245,250
68,62,76,3,0,19.11669158935547,-159.2676673412323,revers,topspin,"(0,238,250)",238,250
69,62,76,3,0,19.11669158935547,-159.2676673412323,revers,topspin,"(0,229,252)",229,252
70,62,76,3,0,19.11669158935547,-159.2676673412323,revers,topspin,"(0,216,255)",216,255
71,62,76,3,0,19.11669158935547,-159.2676673412323,revers,topspin,"(0,235,255)",235,255
72,62,76,3,0,19.11669158935547,-159.2676673412323,revers,topspin,"(0,238,255)",238,255
73,62,76,3,0,19.11669158935547,-159.2676673412323,revers,topspin,"(0,177,255)",177,255
74,62,76,3,0,19.11669158935547,-159.2676673412323,revers,topspin,"(0,235,255)",235,255
75,62,76,3,0,19.11669158935547,-159.2676673412323,revers,topspin,"(0,242,255)",242,255
76,62,76,3,0,19.11669158935547,-159.2676673412323,revers,topspin,"(0,255,250)",255,250
