nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,coor_frappe_x,coor_frappe_y,coor_frappe_z,time_frappe,premier_rebond_x,premier_rebond_y,premier_rebond_z,time_premier_rebond,probleme_annotation
FAN-ZHENDONG,6645,6720,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,m1,,,-24.342952728271484,32.105542500813804,2,FAN-ZHENDONG,TRULS-MOREGARD,63.79492950439453,-294.05416170756024,100,6707,43.15636215209961,-116.01341519355773,2,6710,
TRULS-MOREGARD,6721,6733,garcon,coup_droit,1,att/att,TRULS-MOREGARD,,defensif,d3,,poussette,-38.633711433410646,-91.5400574684143,2,TRULS-MOREGARD,FAN-ZHENDONG,-35.70526351928711,9.433191553751628,100,6722,,,,,
FAN-ZHENDONG,6734,6746,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,g2,,poussette,-65.69404344558716,87.01191177368165,2,FAN-ZHENDONG,TRULS-MOREGARD,-46.93306007385254,-194.46490653355917,100,6738,,,,,
TRULS-MOREGARD,6747,6755,garcon,revers,1,att/att,TRULS-MOREGARD,,offensif,g3,,topspin,34.97446975708008,-129.9751476685206,2,TRULS-MOREGARD,FAN-ZHENDONG,-66.09370760917663,35.865851338704424,100,6748,,,,,
FAN-ZHENDONG,6756,6767,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,topspin,,,,FAN-ZHENDONG,TRULS-MOREGARD,61.346797943115234,-245.27665545145672,100,6757,,,,,
FAN-ZHENDONG,7177,7217,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,m2,,,-9.155991744995116,57.60559844970703,2,FAN-ZHENDONG,TRULS-MOREGARD,64.7229248046875,-275.1369370142619,100,7204,46.19234390258789,-105.6113177617391,2,7208,
TRULS-MOREGARD,7218,7237,garcon,revers,1,att/att,TRULS-MOREGARD,,defensif,m3,,poussette,-5.819742965698242,-91.64907900492351,2,TRULS-MOREGARD,FAN-ZHENDONG,-29.910167121887206,54.70477981567383,100,7221,,,,,
FAN-ZHENDONG,7238,7254,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,g2,,poussette,-53.281984901428224,70.98838946024577,2,FAN-ZHENDONG,TRULS-MOREGARD,-12.51120834350586,-223.61239115397134,100,7244,,,,,
TRULS-MOREGARD,7255,7273,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,topspin,,,,TRULS-MOREGARD,FAN-ZHENDONG,-67.31347627639771,99.61158383687338,100,7260,,,,,
TRULS-MOREGARD,7670,7675,garcon,coup_droit,1,att/att,TRULS-MOREGARD,lat_droit,,m2,,,22.895331954956056,-50.88803742726644,2,TRULS-MOREGARD,FAN-ZHENDONG,-67.89568214416504,6.4884646733601885,100,7670,-38.93525409698486,48.41739069620768,2,7671,
FAN-ZHENDONG,7676,7695,garcon,revers,1,att/att,FAN-ZHENDONG,,defensif,g2,,poussette,-39.79708671569824,54.84339434305827,2,FAN-ZHENDONG,TRULS-MOREGARD,54.5615951538086,-151.1054011106491,100,7683,,,,,
TRULS-MOREGARD,7696,7705,garcon,coup_droit,1,att/att,serveur_point_contre,,offensif,m3,pt_gagne,topspin,-2.128447341918945,-133.47483594616253,2,TRULS-MOREGARD,FAN-ZHENDONG,-65.75823287963867,-26.737674458821616,100,7701,,,,,
TRULS-MOREGARD,8012,8039,garcon,coup_droit,1,att/att,TRULS-MOREGARD,lat_droit,,g3,,,53.352568817138675,-112.55585419336954,2,TRULS-MOREGARD,FAN-ZHENDONG,-52.82927227020264,89.94967918395996,100,8027,-32.2370662689209,89.60848223368326,2,8029,
FAN-ZHENDONG,8040,8057,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,topspin,,,,FAN-ZHENDONG,TRULS-MOREGARD,65.33625869750976,-215.79738527933756,100,8042,,,,,
FAN-ZHENDONG,8459,8503,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,m2,,,-7.949886322021484,76.62348721822103,2,FAN-ZHENDONG,TRULS-MOREGARD,59.2180534362793,-241.58724784851074,100,8489,46.19234390258789,-105.6113177617391,2,8492,
TRULS-MOREGARD,8504,8514,garcon,revers,1,att/att,TRULS-MOREGARD,,intermediaire,g3,,flip,36.00060920715332,-126.4729587395986,2,TRULS-MOREGARD,FAN-ZHENDONG,-20.758477020263673,5.995213317871094,100,8507,,,,,
FAN-ZHENDONG,8515,8532,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,filet,topspin,,,,FAN-ZHENDONG,TRULS-MOREGARD,58.18658676147461,-245.30184542338054,100,8516,,,,,
