nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,coor_frappe_x,coor_frappe_y,coor_frappe_z,time_frappe,premier_rebond_x,premier_rebond_y,premier_rebond_z,time_premier_rebond,probleme_annotation,num_coup,winner,premier_topspin,serveur,relanceur,pos_balle_x_prece,pos_balle_y_prece,pos_balle_z_prece,pos_joueur_0_x,pos_joueur_0_y,pos_joueur_0_z,pos_joueur_1_x,pos_joueur_1_y,pos_joueur_1_z,pos_joueur_2_x,pos_joueur_2_y,pos_joueur_2_z,pos_joueur_3_x,pos_joueur_3_y,pos_joueur_3_z,dist_equipe_1_x,dist_equipe_1_y,dist_equipe_2_x,dist_equipe_2_y,dist_eucl_equipe_1,dist_eucl_equipe_2,num_point,service_lateralite,service_zone,remise_lateralite,remise_effet_coup,remise_zone,faute_du_point,faute_lateralite,nb_coup,valeur_derniere_zone,pos_joueur_0_debut_x,pos_joueur_0_debut_y,pos_joueur_0_debut_z,pos_joueur_1_debut_x,pos_joueur_1_debut_y,pos_joueur_1_debut_z,pos_joueur_0_frappe_x,pos_joueur_0_frappe_y,pos_joueur_0_frappe_z,pos_joueur_1_frappe_x,pos_joueur_1_frappe_y,pos_joueur_1_frappe_z,pos_joueur_0_fin_x,pos_joueur_0_fin_y,pos_joueur_0_fin_z,pos_joueur_1_fin_x,pos_joueur_1_fin_y,pos_joueur_1_fin_z,cote_jA,cote_jB,derniere_zone
FAN-ZHENDONG,6645,6720,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,m1,,,-24.342952728271484,32.105542500813804,2,FAN-ZHENDONG,TRULS-MOREGARD,63.79492950439453,-294.05416170756024,100,6707,43.15636215209961,-116.01341519355773,2,6710,,1,TRULS-MOREGARD,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,,,,99.1015,-49.709534,h3,-72.32153,276.5561,g7,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,coup_droit,m1,coup_droit,poussette,d3,out,revers,5,g3,99.1015,-49.709534,h3,-72.32153,276.5561,g7,95.97443,-60.84024,h3,-86.56683,248.71161,h6,56.27472,-125.33392,g4,-86.12445,239.15161,h6,haut,bas,0
TRULS-MOREGARD,6721,6733,garcon,coup_droit,1,att/att,TRULS-MOREGARD,,defensif,d3,,poussette,-38.633711433410646,-91.5400574684143,2,TRULS-MOREGARD,FAN-ZHENDONG,-35.70526351928711,9.433191553751628,100,6722,,,,,,2,TRULS-MOREGARD,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,-24.342952728271484,32.105542500813804,2,55.585083,-152.67117,g4,-83.31091,229.46802,h6,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,coup_droit,m1,coup_droit,poussette,d3,out,revers,5,g3,55.585083,-152.67117,g4,-83.31091,229.46802,h6,34.920837,-152.69742,g4,-80.04498,232.5769,h6,23.678223,-160.61768,m4,-59.83362,251.04865,g6,haut,bas,0
FAN-ZHENDONG,6734,6746,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,g2,,poussette,-65.69404344558716,87.01191177368165,2,FAN-ZHENDONG,TRULS-MOREGARD,-46.93306007385254,-194.46490653355917,100,6738,,,,,,3,TRULS-MOREGARD,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,-38.633711433410646,-91.5400574684143,2,22.834717,-152.71277,m4,-58.271362,250.99994,g6,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,coup_droit,m1,coup_droit,poussette,d3,out,revers,5,g3,22.834717,-152.71277,m4,-58.271362,250.99994,g6,-1.9754639,-121.388245,m4,-44.122253,288.01038,g7,0.1494751,-172.60748,m4,-51.432556,303.62683,g7,haut,bas,0
TRULS-MOREGARD,6747,6755,garcon,revers,1,att/att,TRULS-MOREGARD,,offensif,g3,,topspin,34.97446975708008,-129.9751476685206,2,TRULS-MOREGARD,FAN-ZHENDONG,-66.09370760917663,35.865851338704424,100,6748,,,,,,4,TRULS-MOREGARD,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,-65.69404344558716,87.01191177368165,2,3.6044312,-176.5951,m4,-55.35608,300.70294,g7,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,coup_droit,m1,coup_droit,poussette,d3,out,revers,5,g3,3.6044312,-176.5951,m4,-55.35608,300.70294,g7,5.348938,-176.58951,m4,-60.412415,285.4743,g7,57.278687,-148.73932,g4,-86.64502,289.46368,h7,haut,bas,1
FAN-ZHENDONG,6756,6767,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,topspin,,,,FAN-ZHENDONG,TRULS-MOREGARD,61.346797943115234,-245.27665545145672,100,6757,,,,,,5,TRULS-MOREGARD,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,34.97446975708008,-129.9751476685206,2,58.137024,-148.7385,g4,-89.63269,292.6601,h7,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,coup_droit,m1,coup_droit,poussette,d3,out,revers,5,g3,58.137024,-148.7385,g4,-89.63269,292.6601,h7,64.10974,-144.8136,g4,-93.63098,289.70245,h7,90.505066,-31.204681,h3,-87.76428,280.1856,h7,haut,bas,0
FAN-ZHENDONG,7177,7217,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,m2,,,-9.155991744995116,57.60559844970703,2,FAN-ZHENDONG,TRULS-MOREGARD,64.7229248046875,-275.1369370142619,100,7204,46.19234390258789,-105.6113177617391,2,7208,,1,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,,,,90.505066,-31.204681,h3,-87.76428,280.1856,h7,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,coup_droit,m2,revers,poussette,m3,out,revers,4,g2,90.505066,-31.204681,h3,-87.76428,280.1856,h7,95.1416,-60.835083,h3,-75.37402,254.69427,g6,34.057617,-148.76141,g4,-49.44922,260.17145,g6,haut,bas,0
TRULS-MOREGARD,7218,7237,garcon,revers,1,att/att,TRULS-MOREGARD,,defensif,m3,,poussette,-5.819742965698242,-91.64907900492351,2,TRULS-MOREGARD,FAN-ZHENDONG,-29.910167121887206,54.70477981567383,100,7221,,,,,,2,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,-9.155991744995116,57.60559844970703,2,33.196228,-140.91245,g4,-44.858948,256.88318,g6,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,coup_droit,m2,revers,poussette,m3,out,revers,4,g2,33.196228,-140.91245,g4,-44.858948,256.88318,g6,56.322998,-133.10312,g4,-37.085022,256.63696,g6,80.16553,-129.22949,h3,-58.260803,306.9265,g7,haut,bas,0
FAN-ZHENDONG,7238,7254,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,g2,,poussette,-53.281984901428224,70.98838946024577,2,FAN-ZHENDONG,TRULS-MOREGARD,-12.51120834350586,-223.61239115397134,100,7244,,,,,,3,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,-5.819742965698242,-91.64907900492351,2,80.91632,-121.492645,h3,-55.10681,309.86542,g7,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,coup_droit,m2,revers,poussette,m3,out,revers,4,g2,80.91632,-121.492645,h3,-55.10681,309.86542,g7,71.096985,-75.69519,g4,-36.51422,354.2296,g8,64.80017,-125.34201,g4,-48.289,366.50623,g8,haut,bas,1
TRULS-MOREGARD,7255,7273,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,topspin,,,,TRULS-MOREGARD,FAN-ZHENDONG,-67.31347627639771,99.61158383687338,100,7260,,,,,,4,FAN-ZHENDONG,TRULS-MOREGARD,FAN-ZHENDONG,TRULS-MOREGARD,-53.281984901428224,70.98838946024577,2,68.09766,-113.76367,g4,-54.39435,363.8072,g8,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,coup_droit,m2,revers,poussette,m3,out,revers,4,g2,68.09766,-113.76367,g4,-54.39435,363.8072,g8,75.2793,-148.72217,g4,-69.40057,367.36072,g8,28.045593,-133.09418,g4,-81.14508,200.28107,h5,haut,bas,0
TRULS-MOREGARD,7670,7675,garcon,coup_droit,1,att/att,TRULS-MOREGARD,lat_droit,,m2,,,22.895331954956056,-50.88803742726644,2,TRULS-MOREGARD,FAN-ZHENDONG,-67.89568214416504,6.4884646733601885,100,7670,-38.93525409698486,48.41739069620768,2,7671,,1,TRULS-MOREGARD,TRULS-MOREGARD,TRULS-MOREGARD,FAN-ZHENDONG,,,,28.045593,-133.09418,g4,-81.14508,200.28107,h5,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2,coup_droit,m2,revers,poussette,g2,pt_gagne,coup_droit,3,m3,28.045593,-133.09418,g4,-81.14508,200.28107,h5,28.045593,-133.09418,g4,-81.14508,200.28107,h5,60.42517,-109.9025,g4,-77.194336,270.4712,h6,haut,bas,0
