frame,numero_pers,max_x,max_y,min_x,min_y,est_joueur
0,0,354.0744323730469,352.9953308105469,241.957275390625,208.14263916015625,1
0,1,529.5516967773438,240.48548889160156,422.58038330078125,125.06027221679688,1
1,0,353.484375,353.4166259765625,241.22503662109375,207.8677978515625,1
1,1,528.55712890625,240.7746124267578,421.0118408203125,125.42488098144531,1
2,0,352.60467529296875,352.7363586425781,241.59548950195312,207.86241149902344,1
2,1,529.1334838867188,237.8445587158203,418.7447204589844,126.80817413330078,1
3,0,351.0875244140625,352.68780517578125,241.02784729003906,207.8779754638672,1
3,1,529.1832275390625,238.037109375,418.3958740234375,126.70063781738281,1
4,0,350.0740661621094,351.33868408203125,241.03338623046875,208.30490112304688,1
4,1,529.0997314453125,237.8772430419922,418.6336669921875,126.94021606445312,1
5,0,348.311767578125,351.4805908203125,240.41915893554688,208.18304443359375,1
5,1,528.8385009765625,238.2875518798828,416.3934326171875,130.04949951171875,1
6,0,346.7935485839844,351.1250305175781,239.38192749023438,209.116943359375,1
6,1,528.8390502929688,238.38414001464844,417.0155029296875,129.8441619873047,1
7,0,346.417724609375,351.5437927246094,238.93032836914062,208.91781616210938,1
7,1,529.2799072265625,238.47933959960938,418.09051513671875,130.190185546875,1
8,0,346.1230163574219,351.4083557128906,238.1799774169922,208.94290161132812,1
8,1,528.701416015625,238.81333923339844,417.0788269042969,130.2814178466797,1
9,0,345.3543395996094,352.1986389160156,237.27059936523438,207.95054626464844,1
9,1,528.50341796875,238.1403350830078,414.182861328125,130.82615661621094,1
10,0,344.7650146484375,351.6249084472656,239.1351318359375,206.9264678955078,1
10,1,528.1505737304688,238.22183227539062,415.15576171875,130.6805877685547,1
11,0,343.9706115722656,351.7132263183594,239.42701721191406,206.39369201660156,1
11,1,527.9404907226562,238.41162109375,415.1307678222656,130.8159942626953,1
12,1,527.3676147460938,238.22714233398438,414.85595703125,131.0714874267578,1
12,0,342.77508544921875,351.3980712890625,239.1024169921875,206.77334594726562,1
13,1,527.0475463867188,238.20550537109375,413.73602294921875,130.73040771484375,1
13,0,342.2275085449219,351.3366394042969,239.16934204101562,205.8899688720703,1
14,1,526.8150024414062,238.21438598632812,412.814453125,130.54888916015625,1
14,0,342.0223388671875,351.7303161621094,238.5360107421875,205.76620483398438,1
15,1,527.1253051757812,238.1500701904297,411.6871643066406,130.49388122558594,1
15,0,341.78631591796875,351.3770446777344,238.59661865234375,206.47848510742188,1
16,1,526.7702026367188,238.14356994628906,411.6808776855469,130.51268005371094,1
16,0,341.5237731933594,351.3969421386719,238.47779846191406,206.495361328125,1
17,1,526.7060546875,237.96002197265625,410.4825439453125,130.36231994628906,1
17,0,341.61871337890625,351.4910583496094,238.6858367919922,207.3486328125,1
18,1,526.7552490234375,238.1338653564453,410.37164306640625,130.5556640625,1
18,0,341.7394104003906,351.9057312011719,238.5819091796875,207.53013610839844,1
19,1,526.7841796875,237.83905029296875,409.8551940917969,130.8087158203125,1
19,0,341.9342956542969,351.5533447265625,238.8787384033203,206.7985382080078,1
20,1,527.0238647460938,238.1865234375,409.72894287109375,130.750732421875,1
20,0,342.3385925292969,352.2965393066406,238.98794555664062,206.8289794921875,1
21,1,526.758056640625,237.82260131835938,409.2853698730469,130.70852661132812,1
21,0,343.3008728027344,351.7706298828125,238.82354736328125,207.2888946533203,1
22,1,526.8030395507812,237.84332275390625,409.0804748535156,130.66339111328125,1
22,0,345.59063720703125,352.3778381347656,237.85812377929688,209.18321228027344,1
23,1,527.1668090820312,237.75875854492188,408.8544921875,130.79339599609375,1
23,0,345.2602233886719,352.7075500488281,238.20599365234375,210.05555725097656,1
24,0,345.8735656738281,352.8486633300781,238.5509490966797,209.93936157226562,1
24,1,526.8695068359375,237.64947509765625,409.5243225097656,130.61685180664062,1
25,0,346.38348388671875,352.109375,239.6140594482422,211.38711547851562,1
25,1,527.1586303710938,237.87115478515625,409.7150573730469,130.8129119873047,1
26,0,346.748291015625,351.69232177734375,239.75570678710938,210.02218627929688,1
26,1,526.7855224609375,237.8735809326172,409.5779724121094,130.76898193359375,1
27,0,347.2872619628906,352.3822021484375,239.44461059570312,208.7099609375,1
27,1,527.1668701171875,237.4764404296875,409.8930358886719,130.6722869873047,1
28,0,349.7850646972656,353.1520080566406,239.71835327148438,208.6277618408203,1
28,1,527.2255249023438,237.42825317382812,409.94268798828125,130.65719604492188,1
29,0,351.2090759277344,352.4197692871094,240.11769104003906,208.45408630371094,1
29,1,526.566162109375,237.4163818359375,409.7677001953125,130.8339385986328,1
30,0,352.39227294921875,353.2267761230469,240.0745086669922,208.49212646484375,1
30,1,526.9740600585938,237.83839416503906,410.11212158203125,130.60089111328125,1
31,0,352.4744567871094,352.9903259277344,239.99591064453125,208.45265197753906,1
31,1,527.5040893554688,237.6342315673828,409.52655029296875,130.46002197265625,1
32,0,352.72039794921875,353.0688171386719,240.5414276123047,207.44235229492188,1
32,1,527.5059814453125,237.6559600830078,409.3481140136719,130.47958374023438,1
33,0,352.29107666015625,353.3561096191406,239.81979370117188,207.07359313964844,1
33,1,527.3167114257812,237.61956787109375,409.8946533203125,130.46319580078125,1
34,0,352.4484558105469,353.3045654296875,240.00845336914062,207.4576416015625,1
34,1,527.4811401367188,237.80702209472656,409.8498229980469,130.0409698486328,1
35,0,352.1376647949219,353.2343444824219,239.78172302246094,207.75689697265625,1
35,1,527.1021118164062,237.9521942138672,410.7580261230469,129.5924835205078,1
36,0,351.8158874511719,352.754150390625,240.0682373046875,206.0568084716797,1
36,1,527.9207763671875,237.80735778808594,409.4436950683594,128.23165893554688,1
37,0,351.0572204589844,351.3217468261719,238.76385498046875,206.78463745117188,1
37,1,529.2281494140625,238.36509704589844,407.55633544921875,127.90171813964844,1
38,0,350.1380310058594,350.3066101074219,238.38983154296875,205.0672607421875,1
38,1,530.1956176757812,239.17918395996094,409.6792297363281,126.02545166015625,1
39,0,349.4796142578125,350.3087158203125,238.77130126953125,204.2839813232422,1
39,1,534.1980590820312,238.54586791992188,406.85491943359375,125.2448959350586,1
40,0,348.4508972167969,351.2953796386719,235.16946411132812,201.3233642578125,1
40,1,535.7306518554688,237.6435546875,406.6028747558594,121.72499084472656,1
41,0,347.8586730957031,349.93865966796875,237.9022979736328,199.55857849121094,1
41,1,534.4389038085938,234.17208862304688,404.776611328125,119.95529174804688,1
42,1,548.0343017578125,239.09298706054688,401.0669860839844,117.40811157226562,1
42,0,345.5743103027344,351.8554382324219,234.10137939453125,202.7469024658203,1
43,1,550.4074096679688,234.36923217773438,412.30780029296875,109.04145050048828,1
43,0,345.97314453125,351.6656799316406,234.33274841308594,201.1642303466797,1
44,0,344.6807861328125,351.563720703125,237.5220947265625,204.37965393066406,1
44,1,556.619873046875,234.0487823486328,417.9982604980469,109.60614776611328,1
45,0,342.1967468261719,351.8769226074219,233.515625,197.533203125,1
45,1,556.3295288085938,236.99996948242188,415.7039794921875,95.17723846435547,1
46,1,557.529541015625,236.88275146484375,412.341796875,85.20296478271484,1
46,0,341.8540344238281,351.6833801269531,234.54405212402344,197.78195190429688,1
47,1,558.560302734375,236.9208984375,413.93731689453125,86.2471923828125,1
47,0,342.375732421875,351.4625549316406,234.89523315429688,196.44190979003906,1
