frame,numero_pers,distance_x,distance_y,distance_z,zone_jeu,num_tracking,num_point,winner
0,1,-72.32153,276.5561,74,g7,0,0,TRULS-MOREGARD
0,0,99.1015,-49.709534,74,h3,1,0,TRULS-MOREGARD
1,1,-73.09851,276.58185,74,g7,0,0,TRULS-MOREGARD
1,0,97.31055,-42.3006,74,h3,1,0,TRULS-MOREGARD
2,1,-72.99768,279.69196,74,g7,0,0,TRULS-MOREGARD
2,0,97.31055,-42.3006,74,h3,1,0,TRULS-MOREGARD
3,1,-74.448364,282.8484,74,g7,0,0,TRULS-MOREGARD
3,0,94.76233,-38.593506,74,h3,1,0,TRULS-MOREGARD
4,1,-76.0,282.90063,74,h7,0,0,TRULS-MOREGARD
4,0,94.699524,-34.913116,74,h3,1,0,TRULS-MOREGARD
5,1,-77.552,282.95288,74,h7,0,0,TRULS-MOREGARD
5,0,93.87256,-34.90625,74,h3,1,0,TRULS-MOREGARD
6,1,-79.10443,283.0052,74,h7,0,0,TRULS-MOREGARD
6,0,93.87256,-34.90625,74,h3,1,0,TRULS-MOREGARD
7,1,-82.21039,283.1098,74,h7,0,0,TRULS-MOREGARD
7,0,92.9845,-31.226013,74,h3,1,0,TRULS-MOREGARD
8,1,-83.6532,286.26282,74,h7,0,0,TRULS-MOREGARD
8,0,93.04547,-34.899384,74,h3,1,0,TRULS-MOREGARD
9,1,-85.982056,286.3418,74,h7,0,0,TRULS-MOREGARD
9,0,92.9845,-31.226013,74,h3,1,0,TRULS-MOREGARD
10,1,-88.31177,286.4209,74,h7,0,0,TRULS-MOREGARD
10,0,92.9845,-31.226013,74,h3,1,0,TRULS-MOREGARD
11,1,-89.20453,283.34534,74,h7,0,0,TRULS-MOREGARD
11,0,92.9845,-31.226013,74,h3,1,0,TRULS-MOREGARD
12,1,-91.656006,280.31567,74,h7,0,0,TRULS-MOREGARD
12,0,92.21826,-34.892517,74,h3,1,0,TRULS-MOREGARD
13,1,-92.43469,280.34174,74,h7,0,0,TRULS-MOREGARD
13,0,92.21826,-34.892517,74,h3,1,0,TRULS-MOREGARD
14,1,-93.093506,283.47632,74,h7,0,0,TRULS-MOREGARD
14,0,91.39093,-34.88565,74,h3,1,0,TRULS-MOREGARD
15,1,-93.87158,283.50256,74,h7,0,0,TRULS-MOREGARD
15,0,91.39093,-34.88565,74,h3,1,0,TRULS-MOREGARD
16,1,-93.87158,283.50256,74,h7,0,0,TRULS-MOREGARD
16,0,91.39093,-34.88565,74,h3,1,0,TRULS-MOREGARD
17,1,-93.87158,283.50256,74,h7,0,0,TRULS-MOREGARD
17,0,91.39093,-34.88565,74,h3,1,0,TRULS-MOREGARD
18,1,-93.87158,283.50256,74,h7,0,0,TRULS-MOREGARD
18,0,91.39093,-34.88565,74,h3,1,0,TRULS-MOREGARD
19,1,-93.21344,280.36774,74,h7,0,0,TRULS-MOREGARD
19,0,91.39093,-34.88565,74,h3,1,0,TRULS-MOREGARD
20,1,-90.75983,283.39777,74,h7,0,0,TRULS-MOREGARD
20,0,91.39093,-34.88565,74,h3,1,0,TRULS-MOREGARD
21,1,-89.98212,283.37152,74,h7,0,0,TRULS-MOREGARD
21,0,90.56354,-34.878784,74,h3,1,0,TRULS-MOREGARD
22,1,-87.535095,286.39453,74,h7,0,0,TRULS-MOREGARD
22,0,90.56354,-34.878784,74,h3,1,0,TRULS-MOREGARD
23,1,-86.09503,283.24066,74,h7,0,0,TRULS-MOREGARD
23,0,91.39093,-34.88565,74,h3,1,0,TRULS-MOREGARD
24,1,-84.42938,286.28912,74,h7,0,0,TRULS-MOREGARD
