frame,numero_pers,distance_x,distance_y,distance_z,zone_jeu
0,1,-72.32153,276.5561,74,g7
0,0,99.1015,-49.709534,74,h3
0,4,-72.32153,276.5561,74.0,m1
1,1,-73.09851,276.58185,74,g7
1,0,97.31055,-42.3006,74,h3
1,4,-71.68181563637695,273.2967592333442,73.04,m1
2,1,-72.99768,279.69196,74,g7
2,0,97.31055,-42.3006,74,h3
2,4,-71.0421012727539,270.0374184666884,72.08,m1
3,1,-74.448364,282.8484,74,g7
3,0,94.76233,-38.593506,74,h3
3,4,-70.40238690913085,266.77807770003255,71.12,m1
4,1,-76.0,282.90063,74,h7
4,0,94.699524,-34.913116,74,h3
4,4,-69.76267254550781,263.5187369333768,70.16,m1
5,1,-77.552,282.95288,74,h7
5,0,93.87256,-34.90625,74,h3
5,4,-69.12295818188475,260.25939616672093,69.2,m1
6,1,-79.10443,283.0052,74,h7
6,0,93.87256,-34.90625,74,h3
6,4,-68.48324381826171,257.0000554000651,68.24,m1
7,1,-82.21039,283.1098,74,h7
7,0,92.9845,-31.226013,74,h3
7,4,-67.84352945463867,253.7407146334093,67.28,m1
8,1,-83.6532,286.26282,74,h7
8,0,93.04547,-34.899384,74,h3
8,4,-67.20381509101563,250.48137386675347,66.32,m1
9,1,-85.982056,286.3418,74,h7
9,0,92.9845,-31.226013,74,h3
9,4,-66.56410072739257,247.22203310009766,65.36,m1
10,1,-88.31177,286.4209,74,h7
10,0,92.9845,-31.226013,74,h3
10,4,-65.92438636376953,243.96269233344185,64.4,m1
11,1,-89.20453,283.34534,74,h7
11,0,92.9845,-31.226013,74,h3
11,4,-65.28467200014649,240.70335156678604,63.44,m1
12,1,-91.656006,280.31567,74,h7
12,0,92.21826,-34.892517,74,h3
12,4,-64.64495763652343,237.44401080013023,62.480000000000004,m1
13,1,-92.43469,280.34174,74,h7
13,0,92.21826,-34.892517,74,h3
13,4,-64.00524327290039,234.1846700334744,61.519999999999996,m1
14,1,-93.093506,283.47632,74,h7
14,0,91.39093,-34.88565,74,h3
14,4,-63.365528909277344,230.9253292668186,60.56,m1
15,1,-93.87158,283.50256,74,h7
15,0,91.39093,-34.88565,74,h3
15,4,-62.725814545654295,227.66598850016277,59.6,m1
16,1,-93.87158,283.50256,74,h7
16,0,91.39093,-34.88565,74,h3
16,4,-62.086100182031245,224.40664773350696,58.64,m1
17,1,-93.87158,283.50256,74,h7
17,0,91.39093,-34.88565,74,h3
17,4,-61.4463858184082,221.14730696685115,57.68,m1
18,1,-93.87158,283.50256,74,h7
18,0,91.39093,-34.88565,74,h3
18,4,-60.80667145478515,217.88796620019534,56.72,m1
19,1,-93.21344,280.36774,74,h7
19,0,91.39093,-34.88565,74,h3
19,4,-60.166957091162104,214.62862543353953,55.760000000000005,m1
20,1,-90.75983,283.39777,74,h7
20,0,91.39093,-34.88565,74,h3
