frame,numero_pers,distance_x,distance_y,distance_z,zone_jeu
0,1,-72.32153,276.5561,74.0,g7
0,0,99.1015,-49.709534,74.0,h3
0,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
1,1,-73.09851,276.58185,74.0,g7
1,0,97.31055,-42.3006,74.0,h3
1,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
2,1,-72.99768,279.69196,74.0,g7
2,0,97.31055,-42.3006,74.0,h3
2,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
3,1,-74.448364,282.8484,74.0,g7
3,0,94.76233,-38.593506,74.0,h3
3,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
4,1,-76.0,282.90063,74.0,h7
4,0,94.699524,-34.913116,74.0,h3
4,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
5,1,-77.552,282.95288,74.0,h7
5,0,93.87256,-34.90625,74.0,h3
5,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
6,1,-79.10443,283.0052,74.0,h7
6,0,93.87256,-34.90625,74.0,h3
6,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
7,1,-82.21039,283.1098,74.0,h7
7,0,92.9845,-31.226013,74.0,h3
7,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
8,1,-83.6532,286.26282,74.0,h7
8,0,93.04547,-34.899384,74.0,h3
8,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
9,1,-85.982056,286.3418,74.0,h7
9,0,92.9845,-31.226013,74.0,h3
9,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
10,1,-88.31177,286.4209,74.0,h7
10,0,92.9845,-31.226013,74.0,h3
10,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
11,1,-89.20453,283.34534,74.0,h7
11,0,92.9845,-31.226013,74.0,h3
11,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
12,1,-91.656006,280.31567,74.0,h7
12,0,92.21826,-34.892517,74.0,h3
12,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
13,1,-92.43469,280.34174,74.0,h7
13,0,92.21826,-34.892517,74.0,h3
13,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
14,1,-93.093506,283.47632,74.0,h7
14,0,91.39093,-34.88565,74.0,h3
14,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
15,1,-93.87158,283.50256,74.0,h7
15,0,91.39093,-34.88565,74.0,h3
15,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
16,1,-93.87158,283.50256,74.0,h7
16,0,91.39093,-34.88565,74.0,h3
16,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
17,1,-93.87158,283.50256,74.0,h7
17,0,91.39093,-34.88565,74.0,h3
17,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
18,1,-93.87158,283.50256,74.0,h7
18,0,91.39093,-34.88565,74.0,h3
18,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
19,1,-93.21344,280.36774,74.0,h7
19,0,91.39093,-34.88565,74.0,h3
19,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
20,1,-90.75983,283.39777,74.0,h7
20,0,91.39093,-34.88565,74.0,h3
20,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
21,1,-89.98212,283.37152,74.0,h7
21,0,90.56354,-34.878784,74.0,h3
21,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
22,1,-87.535095,286.39453,74.0,h7
22,0,90.56354,-34.878784,74.0,h3
22,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
23,1,-86.09503,283.24066,74.0,h7
23,0,91.39093,-34.88565,74.0,h3
23,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
24,1,-84.42938,286.28912,74.0,h7
24,0,91.39093,-34.88565,74.0,h3
24,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
25,1,-82.101135,286.21014,74.0,h7
25,0,91.39093,-34.88565,74.0,h3
25,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
26,1,-81.325195,286.18384,74.0,h7
26,0,90.56354,-34.878784,74.0,h3
26,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
27,1,-79.10443,283.0052,74.0,h7
27,0,91.39093,-34.88565,74.0,h3
27,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
28,1,-77.552,282.95288,74.0,h7
28,0,91.39093,-34.88565,74.0,h3
28,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
29,1,-76.0,282.90063,74.0,h7
29,0,91.39093,-34.88565,74.0,h3
29,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
30,1,-74.550415,279.74384,74.0,g7
30,0,91.39093,-34.88565,74.0,h3
30,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
31,1,-74.550415,279.74384,74.0,g7
31,0,91.331665,-31.211792,74.0,h3
31,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
32,1,-73.77405,279.7179,74.0,g7
32,0,90.505066,-31.204681,74.0,h3
32,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
33,1,-73.77405,279.7179,74.0,g7
33,0,91.331665,-31.211792,74.0,h3
33,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
34,1,-73.77405,279.7179,74.0,g7
34,0,91.331665,-31.211792,74.0,h3
34,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
35,1,-73.77405,279.7179,74.0,g7
35,0,91.331665,-31.211792,74.0,h3
35,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
36,1,-73.67267,282.82227,74.0,g7
36,0,91.331665,-31.211792,74.0,h3
36,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
37,1,-76.0,282.90063,74.0,h7
37,0,92.15814,-31.218903,74.0,h3
37,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
38,1,-77.552,282.95288,74.0,h7
38,0,93.93451,-38.586884,74.0,h3
38,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
39,1,-78.328186,282.97906,74.0,h7
39,0,94.825195,-42.281464,74.0,h3
39,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
40,1,-81.43378,283.08362,74.0,h7
40,0,95.71765,-45.983093,74.0,h3
40,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
41,1,-83.87494,280.05554,74.0,h7
41,0,93.35211,-53.379456,74.0,h3
41,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
42,1,-85.43036,280.10754,74.0,h7
42,0,97.24512,-38.613373,74.0,h3
42,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
43,1,-87.1004,277.04645,74.0,h7
43,0,93.41382,-57.098267,74.0,h3
43,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
44,1,-87.99432,273.95306,74.0,h6
44,0,94.18347,-53.3851,74.0,h3
44,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
45,1,-88.77399,273.97876,74.0,h6
45,0,91.62927,-49.656464,74.0,h3
45,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
46,1,-88.890076,270.8534,74.0,h6
46,0,91.62927,-49.656464,74.0,h3
46,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
47,1,-88.890076,270.8534,74.0,h6
47,0,93.47571,-60.824768,74.0,h3
47,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
48,1,-89.7876,267.7475,74.0,h6
48,0,93.53766,-64.55893,74.0,h3
48,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
49,1,-89.00635,267.72217,74.0,h6
49,0,93.53766,-64.55893,74.0,h3
49,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
50,1,-89.00635,267.72217,74.0,h6
50,0,94.49756,-72.05481,74.0,h3
50,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
51,1,-87.559204,264.5346,74.0,h6
51,0,96.23334,-75.82025,74.0,h3
51,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
52,1,-85.21442,264.45917,74.0,h6
52,0,96.23334,-75.82025,74.0,h3
52,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
53,1,-83.65167,264.40887,74.0,h6
53,0,97.135376,-79.58853,74.0,h3
53,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
54,1,-82.9812,261.24194,74.0,h6
54,0,97.20148,-83.36047,74.0,h3
54,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
55,1,-82.30957,258.06934,74.0,h6
55,0,98.87677,-83.36777,74.0,h3
55,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
56,1,-83.09216,258.09412,74.0,h6
56,0,99.78308,-87.15042,74.0,h3
56,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
57,1,-82.30957,258.06934,74.0,h6
57,0,99.78308,-87.15042,74.0,h3
57,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
58,1,-82.30957,258.06934,74.0,h6
58,0,98.9447,-87.147,74.0,h3
58,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
59,1,-83.87488,258.1189,74.0,h6
59,0,97.26764,-87.14023,74.0,h3
59,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
60,1,-85.44061,258.16846,74.0,h6
60,0,97.135376,-79.58853,74.0,h3
60,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
61,1,-86.56683,248.71161,74.0,h6
61,0,96.23334,-75.82025,74.0,h3
61,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
62,1,-86.56683,248.71161,74.0,h6
62,0,95.97443,-60.84024,74.0,h3
62,4,61.381177169799805,-156.00553377103805,16.126399999999997,m1
63,1,-85.89563,245.51483,74.0,h6
63,0,92.58154,-57.092865,74.0,h3
63,4,55.30635930529798,-142.67509194554893,12.987277818233744,m1
64,1,-86.91199,239.17535,74.0,h6
64,0,91.68915,-53.368134,74.0,h3
64,4,49.23154144079615,-129.3446501200598,8.278617890684101,m1
65,1,-86.79675,242.36017,74.0,h6
65,0,90.084045,-57.07663,74.0,h3
65,4,43.15636215209961,-116.01341519355772,2.0,m1
66,1,-86.79675,242.36017,74.0,h6
66,0,84.41016,-68.24948,74.0,h3
66,4,36.40656452487535,-101.20181316523646,9.063075490023525,m1
67,1,-85.781555,248.68732,74.0,h6
67,0,80.32556,-75.74109,74.0,h3
67,4,29.65676689765109,-86.39021113691521,14.55661323426366,m1
68,1,-84.88324,251.82928,74.0,h6
68,0,81.51276,-102.292755,74.0,h3
68,4,22.90696927042683,-71.57860910859397,18.480613232720405,m1
69,1,-85.66766,251.85376,74.0,h6
69,0,80.562195,-160.50903,74.0,h4
69,4,16.157171643202574,-56.76700708027271,20.835075485393766,m1
70,1,-87.23682,251.90265,74.0,h6
70,0,74.95056,-196.36755,74.0,g5
70,4,9.407374015978315,-41.95540505195146,21.619999992283727,m1
71,1,-88.137695,248.76013,74.0,h6
71,0,72.3811,-117.62277,74.0,g4
71,4,2.657576388754057,-27.14380302363021,20.83538675339031,m1
72,1,-88.370605,242.40802,74.0,h6
72,0,67.10657,-192.38556,74.0,g5
72,4,-4.092221238470206,-12.33220099530894,18.481235768713493,m1
73,1,-88.137695,248.76013,74.0,h6
73,0,66.16913,-184.37534,74.0,g5
73,4,-10.842018865694463,2.479401033012296,14.557547038253293,m1
74,1,-87.58362,242.3841,74.0,h6
74,0,67.17792,-106.08081,74.0,g4
74,4,-17.591816492918728,17.291003061333576,9.064320562009698,m1
75,1,-86.12445,239.15161,74.0,h6
75,0,56.27472,-125.33392,74.0,g4
75,4,-24.342952728271484,32.105542500813804,2.0,d3
76,1,-83.31091,229.46802,74.0,h6
76,0,55.585083,-152.67117,74.0,g4
76,4,-30.41777059277331,45.43598432630292,8.278291053732,d3
77,1,-80.04498,232.5769,74.0,h6
77,0,34.920837,-152.69742,74.0,g4
77,4,-36.49282940673828,58.76695488580069,12.987199999999998,d3
78,1,-76.0,235.65472,74.0,h6
78,0,49.548035,-148.74667,74.0,g4
78,4,-36.687451185821395,45.10295201754642,19.83624337103493,d3
79,1,-71.17963,238.70105,74.0,g6
79,0,28.861633,-168.54413,74.0,g4
79,4,-36.88207296490451,31.43894914929215,25.11574899628647,d3
80,1,-69.51001,241.83466,74.0,g6
80,0,42.628906,-133.09879,74.0,g4
80,4,-37.07669474398762,17.774946281037877,28.825716875754615,d3
81,1,-66.46765,238.55902,74.0,g6
81,0,41.81665,-152.68866,74.0,g4
81,4,-37.271316523070745,4.110943412783607,30.96614700943937,d3
82,1,-64.897766,238.51166,74.0,g6
82,0,27.120789,-172.53,74.0,g4
82,4,-37.46593830215386,-9.55305945547067,31.537039397340745,d3
83,1,-63.513794,232.08704,74.0,g6
83,0,27.140686,-160.61105,74.0,g4
83,4,-37.66056008123698,-23.217062323724935,30.538394039458726,d3
84,1,-62.820007,228.86609,74.0,g6
84,0,28.000305,-164.57364,74.0,g4
84,4,-37.855181860320094,-36.88106519197921,27.97021093579332,d3
85,1,-62.12494,225.63928,74.0,g5
85,0,28.017395,-152.70618,74.0,g4
85,4,-38.04980363940321,-50.545068060233476,23.832490086344514,d3
86,1,-61.155823,232.01715,74.0,g6
86,0,25.44336,-144.8381,74.0,g4
86,4,-38.24442541848632,-64.20907092848776,18.125231491112327,d3
87,1,-60.101074,241.54858,74.0,g6
87,0,22.856995,-144.83972,74.0,m4
87,4,-38.43904719756944,-77.87307379674203,10.848435150096748,d3
88,1,-59.83362,251.04865,74.0,g6
88,0,23.678223,-160.61768,74.0,m4
88,4,-38.633711433410646,-91.5400574684143,2.0,g2
89,1,-58.271362,250.99994,74.0,g6
89,0,22.834717,-152.71277,74.0,m4
89,4,-38.808871034585444,-103.83766004984314,9.883531946146483,g2
90,1,-54.72815,266.6106,74.0,g6
90,0,16.817871,-144.84357,74.0,m4
90,4,-38.984030635760256,-116.13526263127198,16.197526146509574,g2
91,1,-50.765015,269.60748,74.0,g6
91,0,9.172974,-125.2894,74.0,m4
91,4,-39.15919023693505,-128.43286521270082,20.941982601089283,g2
92,1,-51.380127,275.8612,74.0,g7
