frame,numero_pers,distance_x,distance_y,distance_z,zone_jeu,num_tracking,num_point,winner
0,0,89.678406,-31.19757,74,h3,0,1,FAN-ZHENDONG
0,1,-89.43707,277.12396,74,h7,1,1,FAN-ZHENDONG
1,0,89.678406,-31.19757,74,h3,0,1,FAN-ZHENDONG
1,1,-88.54242,280.2116,74,h7,1,1,FAN-ZHENDONG
2,0,89.678406,-31.19757,74,h3,0,1,FAN-ZHENDONG
2,1,-87.87921,277.07227,74,h7,1,1,FAN-ZHENDONG
3,0,91.39093,-34.88565,74,h3,0,1,FAN-ZHENDONG
3,1,-86.321655,277.02063,74,h7,1,1,FAN-ZHENDONG
4,0,91.39093,-34.88565,74,h3,0,1,FAN-ZHENDONG
4,1,-84.65265,280.08154,74,h7,1,1,FAN-ZHENDONG
5,0,92.2785,-38.57364,74,h3,0,1,FAN-ZHENDONG
5,1,-83.09735,280.02954,74,h7,1,1,FAN-ZHENDONG
6,0,92.39935,-45.958527,74,h3,0,1,FAN-ZHENDONG
6,1,-80.87341,276.83984,74,h7,1,1,FAN-ZHENDONG
7,0,92.39935,-45.958527,74,h3,0,1,FAN-ZHENDONG
7,1,-78.53992,276.7624,74,h7,1,1,FAN-ZHENDONG
8,0,96.48218,-42.29422,74,h3,0,1,FAN-ZHENDONG
8,1,-77.86774,273.61957,74,h6,1,1,FAN-ZHENDONG
9,0,91.68915,-53.368134,74,h3,0,1,FAN-ZHENDONG
9,1,-77.97339,270.49664,74,h6,1,1,FAN-ZHENDONG
10,0,91.68915,-53.368134,74,h3,0,1,FAN-ZHENDONG
10,1,-77.97339,270.49664,74,h6,1,1,FAN-ZHENDONG
11,0,92.52069,-53.37381,74,h3,0,1,FAN-ZHENDONG
11,1,-77.97339,270.49664,74,h6,1,1,FAN-ZHENDONG
12,0,94.12103,-49.674164,74,h3,0,1,FAN-ZHENDONG
12,1,-77.97339,270.49664,74,h6,1,1,FAN-ZHENDONG
13,0,91.68915,-53.368134,74,h3,0,1,FAN-ZHENDONG
13,1,-78.85907,267.39313,74,h6,1,1,FAN-ZHENDONG
14,0,91.749146,-57.087463,74,h3,0,1,FAN-ZHENDONG
14,1,-80.41913,267.44366,74,h6,1,1,FAN-ZHENDONG
15,0,91.86957,-64.5491,74,h3,0,1,FAN-ZHENDONG
15,1,-82.089355,264.35864,74,h6,1,1,FAN-ZHENDONG
16,0,92.76489,-68.29614,74,h3,0,1,FAN-ZHENDONG
16,1,-82.089355,264.35864,74,h6,1,1,FAN-ZHENDONG
17,0,93.59973,-68.30081,74,h3,0,1,FAN-ZHENDONG
17,1,-81.41754,261.19202,74,h6,1,1,FAN-ZHENDONG
18,0,95.33307,-72.059235,74,h3,0,1,FAN-ZHENDONG
18,1,-80.635925,261.16705,74,h6,1,1,FAN-ZHENDONG
19,0,95.397095,-75.8161,74,h3,0,1,FAN-ZHENDONG
