frame,numero_pers,distance_x,distance_y,distance_z,zone_jeu
0,0,89.678406,-31.19757,74,h3
0,1,-89.43707,277.12396,74,h7
0,4,89.678406,-31.19757,74.0,m2
1,0,89.678406,-31.19757,74,h3
1,1,-88.54242,280.2116,74,h7
1,4,87.20754605637512,-28.977490788757322,72.2,m2
2,0,89.678406,-31.19757,74,h3
2,1,-87.87921,277.07227,74,h7
2,4,84.73668611275023,-26.757411577514645,70.4,m2
3,0,91.39093,-34.88565,74,h3
3,1,-86.321655,277.02063,74,h7
3,4,82.26582616912536,-24.537332366271972,68.6,m2
4,0,91.39093,-34.88565,74,h3
4,1,-84.65265,280.08154,74,h7
4,4,79.79496622550049,-22.317253155029295,66.8,m2
5,0,92.2785,-38.57364,74,h3
5,1,-83.09735,280.02954,74,h7
5,4,77.3241062818756,-20.097173943786622,65.0,m2
6,0,92.39935,-45.958527,74,h3
6,1,-80.87341,276.83984,74,h7
6,4,74.85324633825073,-17.877094732543945,63.2,m2
7,0,92.39935,-45.958527,74,h3
7,1,-78.53992,276.7624,74,h7
7,4,72.38238639462585,-15.65701552130127,61.4,m2
8,0,96.48218,-42.29422,74,h3
8,1,-77.86774,273.61957,74,h6
8,4,69.91152645100098,-13.436936310058591,59.6,m2
9,0,91.68915,-53.368134,74,h3
9,1,-77.97339,270.49664,74,h6
9,4,67.4406665073761,-11.216857098815915,57.8,m2
10,0,91.68915,-53.368134,74,h3
10,1,-77.97339,270.49664,74,h6
10,4,64.96980656375122,-8.996777887573241,56.0,m2
11,0,92.52069,-53.37381,74,h3
11,1,-77.97339,270.49664,74,h6
11,4,62.49894662012634,-6.7766986763305646,54.2,m2
12,0,94.12103,-49.674164,74,h3
12,1,-77.97339,270.49664,74,h6
12,4,60.02808667650146,-4.556619465087888,52.4,m2
13,0,91.68915,-53.368134,74,h3
13,1,-78.85907,267.39313,74,h6
13,4,57.55722673287658,-2.336540253845211,50.6,m2
14,0,91.749146,-57.087463,74,h3
14,1,-80.41913,267.44366,74,h6
14,4,55.086366789251706,-0.1164610426025412,48.8,m2
15,0,91.86957,-64.5491,74,h3
15,1,-82.089355,264.35864,74,h6
15,4,52.615506845626825,2.103618168640139,47.0,m2
16,0,92.76489,-68.29614,74,h3
16,1,-82.089355,264.35864,74,h6
16,4,50.14464690200195,4.323697379882816,45.2,m2
17,0,93.59973,-68.30081,74,h3
