frame,numero_pers,distance_x,distance_y,distance_z,zone_jeu
0,0,89.678406,-31.19757,74.0,h3
0,1,-89.43707,277.12396,74.0,h7
0,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
1,0,89.678406,-31.19757,74.0,h3
1,1,-88.54242,280.2116,74.0,h7
1,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
2,0,89.678406,-31.19757,74.0,h3
2,1,-87.87921,277.07227,74.0,h7
2,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
3,0,91.39093,-34.88565,74.0,h3
3,1,-86.321655,277.02063,74.0,h7
3,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
4,0,91.39093,-34.88565,74.0,h3
4,1,-84.65265,280.08154,74.0,h7
4,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
5,0,92.2785,-38.57364,74.0,h3
5,1,-83.09735,280.02954,74.0,h7
5,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
6,0,92.39935,-45.958527,74.0,h3
6,1,-80.87341,276.83984,74.0,h7
6,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
7,0,92.39935,-45.958527,74.0,h3
7,1,-78.53992,276.7624,74.0,h7
7,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
8,0,96.48218,-42.29422,74.0,h3
8,1,-77.86774,273.61957,74.0,h6
8,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
9,0,91.68915,-53.368134,74.0,h3
9,1,-77.97339,270.49664,74.0,h6
9,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
10,0,91.68915,-53.368134,74.0,h3
10,1,-77.97339,270.49664,74.0,h6
10,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
11,0,92.52069,-53.37381,74.0,h3
11,1,-77.97339,270.49664,74.0,h6
11,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
12,0,94.12103,-49.674164,74.0,h3
12,1,-77.97339,270.49664,74.0,h6
12,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
13,0,91.68915,-53.368134,74.0,h3
13,1,-78.85907,267.39313,74.0,h6
13,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
14,0,91.749146,-57.087463,74.0,h3
14,1,-80.41913,267.44366,74.0,h6
14,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
15,0,91.86957,-64.5491,74.0,h3
15,1,-82.089355,264.35864,74.0,h6
15,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
16,0,92.76489,-68.29614,74.0,h3
16,1,-82.089355,264.35864,74.0,h6
16,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
17,0,93.59973,-68.30081,74.0,h3
17,1,-81.41754,261.19202,74.0,h6
17,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
18,0,95.33307,-72.059235,74.0,h3
18,1,-80.635925,261.16705,74.0,h6
18,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
19,0,95.397095,-75.8161,74.0,h3
19,1,-81.41754,261.19202,74.0,h6
19,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
20,0,97.135376,-79.58853,74.0,h3
20,1,-80.74457,258.01978,74.0,h6
20,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
21,0,98.039185,-83.364136,74.0,h3
21,1,-80.070435,254.84186,74.0,h6
21,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
22,0,98.87677,-83.36777,74.0,h3
22,1,-78.61139,251.63385,74.0,h6
22,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
23,0,98.039185,-83.364136,74.0,h3
23,1,-77.82788,251.60944,74.0,h6
23,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
24,0,98.10626,-87.143616,74.0,h3
24,1,-77.93414,248.44476,74.0,h6
24,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
25,0,97.135376,-79.58853,74.0,h3
25,1,-77.25574,245.24994,74.0,h6
25,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
26,0,96.168396,-72.06366,74.0,h3
26,1,-77.14996,248.42053,74.0,h6
26,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
27,0,96.168396,-72.06366,74.0,h3
27,1,-76.26111,251.56061,74.0,h6
27,4,68.33167816162108,-170.89808424631755,14.87072000000001,m2
28,0,95.078064,-57.1091,74.0,h3
28,1,-75.37402,254.69427,74.0,g6
28,4,62.7969543605428,-154.57671630770383,14.007472683479158,m2
29,0,93.41382,-57.098267,74.0,h3
29,1,-75.37402,254.69427,74.0,g6
29,4,57.26223055946452,-138.25534836909014,11.574687621174915,m2
30,0,91.749146,-57.087463,74.0,h3
30,1,-74.6947,251.51178,74.0,g6
30,4,51.727506758386234,-121.93398043047642,7.572364813087285,m2
31,0,89.19385,-53.351166,74.0,h3
31,1,-73.02716,254.62054,74.0,g6
31,4,46.19234390258789,-105.61131776173912,2.0,m2
32,0,84.2525,-57.038757,74.0,h3
32,1,-71.36316,257.7226,74.0,g6
32,4,40.042650790278685,-87.47646449661278,8.278291053732007,m2
33,0,80.1319,-60.742096,74.0,h3
33,1,-67.36249,260.7433,74.0,g6
33,4,33.892957677969484,-69.34161123148644,12.987044361680622,m2
34,0,80.180176,-64.480255,74.0,h3
34,1,-63.371887,263.75635,74.0,g6
34,4,27.74326456566028,-51.20675796636011,16.126259923845847,m2
35,0,78.742615,-83.27994,74.0,h3
35,1,-60.3468,260.51935,74.0,g6
35,4,21.593571453351075,-33.07190470123378,17.695937740227688,m2
36,0,78.22815,-109.94162,74.0,h3
36,1,-58.701294,263.60608,74.0,g6
36,4,15.443878341041867,-14.93705143610744,17.696077810826132,m2
37,0,74.668335,-94.64511,74.0,g4
37,1,-58.701294,263.60608,74.0,g6
37,4,9.294185228732665,3.197801829018898,16.126680135641198,m2
38,0,72.42206,-121.481964,74.0,g4
38,1,-57.836548,266.71136,74.0,g6
38,4,3.1444921164234585,21.332655094145238,12.98774471467286,m2
39,0,69.64313,-98.439575,74.0,g4
39,1,-56.197144,269.78503,74.0,g6
39,4,-3.005200995885743,39.467508359271555,8.279271547921141,m2
40,0,69.64313,-98.439575,74.0,g4
40,1,-52.560852,260.27075,74.0,g6
40,4,-9.155991744995116,57.60559844970703,2.0,m3
41,0,69.64313,-98.439575,74.0,g4
41,1,-50.22699,260.19623,74.0,g6
41,4,-14.690715546073404,73.92696638832074,7.571985061069636,m3
42,0,69.64313,-98.439575,74.0,g4
42,1,-44.93341,253.73785,74.0,g6
42,4,-20.225439347151692,90.24833432693444,11.574432376355881,m3
43,0,69.64313,-98.439575,74.0,g4
43,1,-41.81964,253.64008,74.0,g6
43,4,-25.76016314822998,106.56970226554816,14.00734194585874,m3
44,0,59.548706,-106.061676,74.0,g4
44,1,-38.70752,253.54224,74.0,g6
44,4,-31.29532600402832,122.89236493428548,14.87072000000001,m3
45,0,55.444763,-129.2139,74.0,g4
45,1,-36.951416,262.9062,74.0,g6
45,4,-29.703133640214784,109.48379060459948,25.838098060573856,m3
46,0,56.37152,-140.90512,74.0,g4
46,1,-35.335632,265.9817,74.0,g6
46,4,-28.110941276401256,96.07521627491346,35.23593837536431,m3
47,0,59.71405,-129.21658,74.0,g4
47,1,-33.012573,265.90637,74.0,g6
47,4,-26.518748912587732,82.66664194522744,43.06424094437138,m3
48,0,61.45044,-133.10474,74.0,g4
48,1,-33.0755,262.7815,74.0,g6
48,4,-24.926556548774197,69.25806761554144,49.32300576759505,m3
49,0,52.086365,-140.90646,74.0,g4
49,1,-34.496887,269.07587,74.0,g6
49,4,-23.33436418496067,55.84949328585541,54.012232845035356,m3
50,0,55.51471,-140.9054,74.0,g4
50,1,-38.434326,266.0822,74.0,g6
50,4,-21.74217182114714,42.440918956169405,57.13192217669225,m3
51,0,55.51471,-140.9054,74.0,g4
51,1,-41.463745,269.30353,74.0,g6
51,4,-20.149979457333608,29.032344626483386,58.68207376256576,m3
52,0,70.643555,-113.76846,74.0,g4
52,1,-45.337585,269.4301,74.0,g6
52,4,-18.55778709352008,15.623770296797378,58.66268760265586,m3
53,0,71.41229,-106.09146,74.0,g4
53,1,-48.51593,266.40912,74.0,g6
53,4,-16.96559472970655,2.2151959671113497,57.0737636969626,m3
54,0,78.181274,-106.10843,74.0,h3
54,1,-51.701965,263.38086,74.0,g6
54,4,-15.373402365893018,-11.193378362574657,53.91530204548594,m3
55,0,79.92096,-109.94534,74.0,h3
55,1,-53.78589,272.8266,74.0,g6
55,4,-13.781210002079488,-24.601952692260664,49.187302648225874,m3
56,0,80.81683,-113.78763,74.0,h3
56,1,-54.312195,282.17023,74.0,g7
56,4,-12.189017638265959,-38.01052702194667,42.88976550518247,m3
57,0,78.416504,-125.35489,74.0,h3
57,1,-56.37799,291.51526,74.0,g7
57,4,-10.596825274452431,-51.419101351632676,35.02269061635563,m3
58,0,77.75275,-140.89835,74.0,h4
58,1,-57.8349,294.64606,74.0,g7
58,4,-9.004632910638898,-64.82767568131871,25.586077981745415,m3
59,0,77.8465,-148.71973,74.0,h4
59,1,-58.519226,297.74487,74.0,g7
59,4,-7.412440546825369,-78.23625001100474,14.579927601351784,m3
60,0,78.55878,-137.0,74.0,h4
60,1,-59.28943,297.7718,74.0,g7
60,4,-5.819742965698242,-91.64907900492352,2.0,g2
61,0,80.116394,-125.356476,74.0,h3
61,1,-58.3468,303.8717,74.0,g7
61,4,-4.3867698382660665,-103.71679590164091,13.240090652185152,g2
62,0,80.866516,-117.63611,74.0,h3
62,1,-55.10681,309.86542,74.0,g7
62,4,-2.9537967108338905,-115.78451279835834,22.910643558586912,g2
63,0,80.81683,-113.78763,74.0,h3
63,1,-49.81909,306.6255,74.0,g7
63,4,-1.5208235834017148,-127.85222969507572,31.011658719205286,g2
64,0,84.09802,-106.12326,74.0,h3
64,1,-46.677246,309.56274,74.0,g7
64,4,-0.08785045596953894,-139.91994659179312,37.54313613404027,g2
65,0,79.77545,-98.47128,74.0,h3
65,1,-44.307617,312.52075,74.0,g7
65,4,1.345122671462637,-151.98766348851055,42.50507580309187,g2
66,0,79.77545,-98.47128,74.0,h3
66,1,-41.040527,321.49567,74.0,g8
66,4,2.7780957988948125,-164.05538038522792,45.89747772636007,g2
67,0,73.782715,-90.83954,74.0,g4
67,1,-37.727234,333.4159,74.0,g8
67,4,4.211267855644228,-176.12477255598708,47.720486,g2
68,0,71.17529,-83.24692,74.0,g4
68,1,-35.696533,357.1552,74.0,g8
68,4,-1.537943402705047,-151.41394641517095,50.21160356029819,g2
69,0,69.34302,-68.16531,74.0,g4
69,1,-33.634766,383.44818,74.0,g8
69,4,-7.2871546610543225,-126.70312027435484,51.13318337481299,g2
70,0,40.963135,-156.633,74.0,g4
70,1,-30.983215,403.55023,74.0,g8
70,4,-13.036365919403597,-101.99229413353872,50.4852254435444,g2
71,0,36.621277,-125.31534,74.0,g4
71,1,-30.750427,414.9759,74.0,g8
71,4,-18.78557717775287,-77.28146799272263,48.267729766492415,g2
72,0,36.621277,-125.31534,74.0,g4
72,1,-30.692505,417.8194,74.0,g8
72,4,-24.53478843610215,-52.570641851906494,44.48069634365705,g2
73,0,36.621277,-125.31534,74.0,g4
73,1,-35.24872,412.32355,74.0,g8
73,4,-30.283999694451424,-27.859815711090373,39.124125175038294,g2
74,0,36.621277,-125.31534,74.0,g4
74,1,-41.241577,409.72968,74.0,g8
74,4,-36.0332109528007,-3.148989570274252,32.198016260636145,g2
75,0,36.621277,-125.31534,74.0,g4
75,1,-43.676636,401.22772,74.0,g8
75,4,-41.78242221114997,21.56183657054185,23.702369600450602,g2
76,0,36.621277,-125.31534,74.0,g4
76,1,-44.028564,386.78992,74.0,g8
76,4,-47.531633469499255,46.27266271135802,13.63718519448167,g2
77,0,64.04492,-137.0,74.0,g4
77,1,-46.636658,372.31183,74.0,g8
77,4,-53.281984901428224,70.98838946024577,2.0,
78,0,66.50391,-125.3436,74.0,g4
78,1,-49.794617,366.56714,74.0,g8
78,4,-58.456275033942575,93.2281329869803,12.393053190484807,
79,0,68.94641,-113.76526,74.0,g4
79,1,-54.39435,363.8072,74.0,g8
79,4,-63.63056516645693,115.46787651371484,21.216568635186224,
80,0,73.23016,-117.624115,74.0,g4
80,1,-57.24463,369.81012,74.0,g8
80,4,-68.80485529897129,137.70762004044937,28.470546334104256,
81,0,74.92798,-117.62677,74.0,g4
81,1,-60.257812,369.9328,74.0,g8
81,4,-73.97914543148563,159.94736356718388,34.1549862872389,
82,0,75.86572,-125.35248,74.0,g4
82,1,-63.36139,367.11627,74.0,g8
82,4,-79.15343556399999,182.18710709391843,38.26988849459015,
83,0,76.0,-137.0,74.0,h4
83,1,-64.69,373.0511,74.0,g8
83,4,,,,
84,0,76.0,-137.0,74.0,h4
84,1,-69.40057,367.36072,74.0,g8
84,4,,,,
85,0,74.33673,-140.89941,74.0,g4
85,1,-72.715576,358.62726,74.0,g8
85,4,,,,
86,0,73.52478,-144.80762,74.0,g4
86,1,-74.63049,346.80194,74.0,g8
86,4,,,,
87,0,73.48242,-140.89969,74.0,g4
87,1,-75.49225,343.84613,74.0,g8
87,4,,,,
88,0,74.33673,-140.89941,74.0,g4
88,1,-74.63049,346.80194,74.0,g8
88,4,,,,
89,0,75.82117,-121.48624,74.0,g4
89,1,-74.530396,349.78162,74.0,g8
89,4,,,,
90,0,78.275085,-113.78284,74.0,h3
90,1,-74.530396,349.78162,74.0,g8
90,4,,,,
91,0,75.82117,-121.48624,74.0,g4
91,1,-74.63049,346.80194,74.0,g8
91,4,,,,
92,0,76.53485,-109.9379,74.0,h3
92,1,-73.9693,343.7874,74.0,g8
92,4,,,,
93,0,78.13452,-102.28323,74.0,h3
93,1,-75.89807,331.84912,74.0,g8
93,4,,,,
94,0,76.44476,-102.27847,74.0,h3
94,1,-76.10211,325.81696,74.0,h8
94,4,,,,
95,0,67.3913,-129.22144,74.0,g4
95,1,-76.82233,304.52594,74.0,h7
95,4,,,,
